|dates|Adams_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Adams_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Adams_Colorado_UnitedStates.Male_Total_Population.data|Adams_Colorado_UnitedStates.Male_Total_Population.missing|Adams_Colorado_UnitedStates.Female_Total_Population.data|Adams_Colorado_UnitedStates.Female_Total_Population.missing|Adams_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Adams_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-18|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-19|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-20|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-21|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-22|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-23|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-24|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-25|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-26|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-27|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-28|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-29|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-30|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-10-31|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-01|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-02|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-03|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-04|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-05|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-06|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-07|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-08|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-09|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-10|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-11|53587.0|0|258470.0|0|253398.0|0|135776.0|0
0|2021-11-12|53587.0|0|258470.0|0|253398.0|0|135776.0|0
