|dates|Rawlins_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Rawlins_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Rawlins_Kansas_UnitedStates.Male_Total_Population.data|Rawlins_Kansas_UnitedStates.Male_Total_Population.missing|Rawlins_Kansas_UnitedStates.Female_Total_Population.data|Rawlins_Kansas_UnitedStates.Female_Total_Population.missing|Rawlins_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Rawlins_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-18|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-19|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-20|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-21|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-22|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-23|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-24|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-25|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-26|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-27|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-28|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-29|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-30|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-10-31|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-01|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-02|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-03|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-04|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-05|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-06|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-07|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-08|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-09|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-10|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-11|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-12|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-13|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-14|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-15|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-16|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-17|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-18|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-19|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-20|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-21|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-22|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-23|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-24|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-25|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-26|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-27|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-28|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-29|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-11-30|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-01|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-02|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-03|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-04|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-05|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-06|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-07|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-08|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-09|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-10|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-11|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-12|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-13|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-14|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-15|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-16|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-17|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-18|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-19|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-20|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-21|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-22|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-23|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-24|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-25|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-26|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-27|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-28|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-29|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-30|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2021-12-31|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-01|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-02|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-03|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-04|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-05|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-06|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-07|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-08|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-09|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-10|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-11|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-12|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-13|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-14|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-15|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-16|700.0|0|1267.0|0|1241.0|0|526.0|0
0|2022-01-17|700.0|0|1267.0|0|1241.0|0|526.0|0
