|dates|Butler_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Butler_Missouri_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Butler_Missouri_UnitedStates.Male_Total_Population.data|Butler_Missouri_UnitedStates.Male_Total_Population.missing|Butler_Missouri_UnitedStates.Female_Total_Population.data|Butler_Missouri_UnitedStates.Female_Total_Population.missing|Butler_Missouri_UnitedStates.MaleAndFemale_Under18_Population.data|Butler_Missouri_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-18|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-19|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-20|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-21|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-22|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-23|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-24|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-25|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-26|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-27|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-28|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-29|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-30|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-10-31|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-01|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-02|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-03|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-04|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-05|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-06|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-07|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-08|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-09|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-10|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-11|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-12|8021.0|0|20715.0|0|21924.0|0|10012.0|0
0|2021-11-13|8021.0|0|20715.0|0|21924.0|0|10012.0|0
