|dates|Worcester_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Worcester_Massachusetts_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Worcester_Massachusetts_UnitedStates.Male_Total_Population.data|Worcester_Massachusetts_UnitedStates.Male_Total_Population.missing|Worcester_Massachusetts_UnitedStates.Female_Total_Population.data|Worcester_Massachusetts_UnitedStates.Female_Total_Population.missing|Worcester_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.data|Worcester_Massachusetts_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-18|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-19|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-20|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-21|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-22|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-23|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-24|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-25|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-26|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-27|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-28|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-29|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-30|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-10-31|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-01|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-02|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-03|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-04|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-05|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-06|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-07|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-08|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-09|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-10|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-11|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-12|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-13|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-14|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-15|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-16|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-17|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-18|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-19|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-20|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-21|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-22|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-23|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-24|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-25|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-26|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-27|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-28|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-29|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-11-30|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-01|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-02|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-03|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-04|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-05|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-06|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-07|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-08|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-09|129978.0|0|409671.0|0|421168.0|0|174732.0|0
0|2021-12-10|129978.0|0|409671.0|0|421168.0|0|174732.0|0
