|dates|Pima_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Pima_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Pima_Arizona_UnitedStates.NYT_ConfirmedDeaths.data|Pima_Arizona_UnitedStates.NYT_ConfirmedDeaths.missing|Pima_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Pima_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Pima_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Pima_Arizona_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|2664.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|2664.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|2691.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|2690.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|2693.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|2703.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|2706.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|2708.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|2708.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|2726.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|2730.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|2733.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|2733.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|2736.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|2736.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|2736.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|2736.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|2756.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|2757.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|2766.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|2769.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|2769.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|2769.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|2790.0|0|0.0|100|0.0|100
0|2021-11-10|0.0|100|2789.0|0|0.0|100|0.0|100
0|2021-11-11|0.0|100|2786.0|0|0.0|100|0.0|100
0|2021-11-12|0.0|100|2792.0|0|0.0|100|0.0|100
0|2021-11-13|0.0|100|2807.0|0|0.0|100|0.0|100
0|2021-11-14|0.0|100|2807.0|0|0.0|100|0.0|100
0|2021-11-15|0.0|100|2807.0|0|0.0|100|0.0|100
0|2021-11-16|0.0|100|2827.0|0|0.0|100|0.0|100
