|dates|Ohio_Indiana_UnitedStates.JHU_ConfirmedCases.data|Ohio_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Ohio_Indiana_UnitedStates.NYT_ConfirmedCases.data|Ohio_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Ohio_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Ohio_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Ohio_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Ohio_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|840.0|0|840.0|0|12.0|0|0.0|100
0|2021-10-18|841.0|0|841.0|0|12.0|0|0.0|100
0|2021-10-19|842.0|0|842.0|0|12.0|0|0.0|100
0|2021-10-20|842.0|0|842.0|0|13.0|0|0.0|100
0|2021-10-21|845.0|0|845.0|0|13.0|0|0.0|100
0|2021-10-22|846.0|0|846.0|0|13.0|0|0.0|100
0|2021-10-23|846.0|0|846.0|0|13.0|0|0.0|100
0|2021-10-24|846.0|0|846.0|0|13.0|0|0.0|100
0|2021-10-25|846.0|0|846.0|0|13.0|0|0.0|100
0|2021-10-26|850.0|0|850.0|0|13.0|0|0.0|100
0|2021-10-27|853.0|0|853.0|0|13.0|0|0.0|100
0|2021-10-28|858.0|0|858.0|0|13.0|0|0.0|100
0|2021-10-29|858.0|0|858.0|0|13.0|0|0.0|100
0|2021-10-30|858.0|0|858.0|0|13.0|0|0.0|100
0|2021-10-31|858.0|0|858.0|0|13.0|0|0.0|100
0|2021-11-01|859.0|0|859.0|0|13.0|0|0.0|100
0|2021-11-02|862.0|0|862.0|0|13.0|0|0.0|100
0|2021-11-03|862.0|0|862.0|0|13.0|0|0.0|100
0|2021-11-04|865.0|0|865.0|0|13.0|0|0.0|100
0|2021-11-05|866.0|0|866.0|0|13.0|0|0.0|100
0|2021-11-06|866.0|0|866.0|0|13.0|0|0.0|100
0|2021-11-07|866.0|0|866.0|0|13.0|0|0.0|100
0|2021-11-08|870.0|0|870.0|0|13.0|0|0.0|100
0|2021-11-09|870.0|0|870.0|0|13.0|0|0.0|100
0|2021-11-10|870.0|0|872.0|0|13.0|0|0.0|100
0|2021-11-11|875.0|0|875.0|0|13.0|0|0.0|100
0|2021-11-12|876.0|0|876.0|0|13.0|0|0.0|100
0|2021-11-13|876.0|0|876.0|0|13.0|0|0.0|100
0|2021-11-14|876.0|0|876.0|0|13.0|0|0.0|100
0|2021-11-15|878.0|0|878.0|0|13.0|0|0.0|100
0|2021-11-16|884.0|0|884.0|0|13.0|0|0.0|100
0|2021-11-17|891.0|0|891.0|0|13.0|0|0.0|100
0|2021-11-18|891.0|0|891.0|0|13.0|0|0.0|100
0|2021-11-19|891.0|0|891.0|0|13.0|0|0.0|100
0|2021-11-20|891.0|0|891.0|0|13.0|0|0.0|100
0|2021-11-21|891.0|0|891.0|0|13.0|0|0.0|100
0|2021-11-22|895.0|0|895.0|0|13.0|0|0.0|100
0|2021-11-23|899.0|0|899.0|0|13.0|0|0.0|100
0|2021-11-24|905.0|0|905.0|0|13.0|0|0.0|100
0|2021-11-25|905.0|0|905.0|0|13.0|0|0.0|100
0|2021-11-26|905.0|0|905.0|0|13.0|0|0.0|100
0|2021-11-27|905.0|0|905.0|0|13.0|0|0.0|100
0|2021-11-28|905.0|0|905.0|0|13.0|0|0.0|100
0|2021-11-29|914.0|0|914.0|0|13.0|0|0.0|100
0|2021-11-30|918.0|0|918.0|0|13.0|0|0.0|100
0|2021-12-01|921.0|0|921.0|0|13.0|0|0.0|100
0|2021-12-02|921.0|0|921.0|0|13.0|0|0.0|100
0|2021-12-03|924.0|0|924.0|0|13.0|0|0.0|100
0|2021-12-04|924.0|0|924.0|0|13.0|0|0.0|100
0|2021-12-05|924.0|0|924.0|0|13.0|0|0.0|100
0|2021-12-06|929.0|0|929.0|0|13.0|0|0.0|100
0|2021-12-07|933.0|0|933.0|0|13.0|0|0.0|100
0|2021-12-08|935.0|0|935.0|0|13.0|0|0.0|100
0|2021-12-09|938.0|0|938.0|0|13.0|0|0.0|100
0|2021-12-10|941.0|0|941.0|0|13.0|0|0.0|100
0|2021-12-11|941.0|0|941.0|0|13.0|0|0.0|100
0|2021-12-12|941.0|0|941.0|0|13.0|0|0.0|100
0|2021-12-13|946.0|0|946.0|0|13.0|0|0.0|100
0|2021-12-14|946.0|0|948.0|0|13.0|0|0.0|100
0|2021-12-15|957.0|0|957.0|0|13.0|0|0.0|100
0|2021-12-16|961.0|0|961.0|0|14.0|0|0.0|100
0|2021-12-17|968.0|0|968.0|0|14.0|0|0.0|100
0|2021-12-18|968.0|0|968.0|0|14.0|0|0.0|100
0|2021-12-19|968.0|0|968.0|0|14.0|0|0.0|100
0|2021-12-20|975.0|0|975.0|0|14.0|0|0.0|100
0|2021-12-21|976.0|0|976.0|0|14.0|0|0.0|100
0|2021-12-22|979.0|0|979.0|0|14.0|0|0.0|100
0|2021-12-23|979.0|0|979.0|0|14.0|0|0.0|100
0|2021-12-24|979.0|0|979.0|0|14.0|0|0.0|100
0|2021-12-25|979.0|0|979.0|0|14.0|0|0.0|100
0|2021-12-26|979.0|0|979.0|0|14.0|0|0.0|100
0|2021-12-27|984.0|0|984.0|0|14.0|0|0.0|100
0|2021-12-28|990.0|0|990.0|0|15.0|0|0.0|100
0|2021-12-29|998.0|0|998.0|0|15.0|0|0.0|100
0|2021-12-30|1000.0|0|1000.0|0|15.0|0|0.0|100
0|2021-12-31|1000.0|0|1000.0|0|15.0|0|0.0|100
0|2022-01-01|1000.0|0|1000.0|0|15.0|0|0.0|100
0|2022-01-02|1000.0|0|1000.0|0|15.0|0|0.0|100
0|2022-01-03|1009.0|0|1009.0|0|15.0|0|0.0|100
0|2022-01-04|1017.0|0|1017.0|0|15.0|0|0.0|100
0|2022-01-05|1023.0|0|1023.0|0|15.0|0|0.0|100
0|2022-01-06|1040.0|0|1040.0|0|15.0|0|0.0|100
0|2022-01-07|1044.0|0|1044.0|0|16.0|0|0.0|100
0|2022-01-08|1044.0|0|1044.0|0|16.0|0|0.0|100
0|2022-01-09|1044.0|0|1044.0|0|16.0|0|0.0|100
0|2022-01-10|1076.0|0|1076.0|0|16.0|0|0.0|100
0|2022-01-11|1090.0|0|1090.0|0|16.0|0|0.0|100
0|2022-01-12|1105.0|0|1105.0|0|16.0|0|0.0|100
