|dates|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedCases.data|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Vanderburgh_Indiana_UnitedStates.NYT_ConfirmedCases.data|Vanderburgh_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|31975.0|0|31991.0|0|473.0|0|0.0|100
0|2021-10-18|32087.0|0|32103.0|0|477.0|0|0.0|100
0|2021-10-19|32119.0|0|32135.0|0|478.0|0|0.0|100
0|2021-10-20|32162.0|0|32178.0|0|480.0|0|0.0|100
0|2021-10-21|32214.0|0|32230.0|0|480.0|0|0.0|100
0|2021-10-22|32251.0|0|32267.0|0|480.0|0|0.0|100
0|2021-10-23|32251.0|0|32267.0|0|480.0|0|0.0|100
0|2021-10-24|32251.0|0|32267.0|0|480.0|0|0.0|100
0|2021-10-25|32333.0|0|32349.0|0|481.0|0|0.0|100
0|2021-10-26|32358.0|0|32374.0|0|482.0|0|0.0|100
0|2021-10-27|32393.0|0|32409.0|0|483.0|0|0.0|100
0|2021-10-28|32427.0|0|32443.0|0|483.0|0|0.0|100
0|2021-10-29|32477.0|0|32493.0|0|484.0|0|0.0|100
0|2021-10-30|32477.0|0|32493.0|0|484.0|0|0.0|100
0|2021-10-31|32477.0|0|32493.0|0|484.0|0|0.0|100
0|2021-11-01|32542.0|0|32558.0|0|486.0|0|0.0|100
0|2021-11-02|32568.0|0|32584.0|0|487.0|0|0.0|100
0|2021-11-03|32604.0|0|32620.0|0|487.0|0|0.0|100
0|2021-11-04|32641.0|0|32657.0|0|487.0|0|0.0|100
0|2021-11-05|32706.0|0|32723.0|0|488.0|0|0.0|100
0|2021-11-06|32706.0|0|32723.0|0|488.0|0|0.0|100
0|2021-11-07|32706.0|0|32723.0|0|488.0|0|0.0|100
0|2021-11-08|32822.0|0|32839.0|0|488.0|0|0.0|100
0|2021-11-09|32864.0|0|32881.0|0|488.0|0|0.0|100
0|2021-11-10|32928.0|0|32947.0|0|488.0|0|0.0|100
0|2021-11-11|33114.0|0|33133.0|0|488.0|0|0.0|100
0|2021-11-12|33173.0|0|33192.0|0|493.0|0|0.0|100
0|2021-11-13|33173.0|0|33192.0|0|493.0|0|0.0|100
0|2021-11-14|33173.0|0|33192.0|0|493.0|0|0.0|100
0|2021-11-15|33311.0|0|33330.0|0|493.0|0|0.0|100
