|dates|Rush_Kansas_UnitedStates.JHU_ConfirmedCases.data|Rush_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Rush_Kansas_UnitedStates.NYT_ConfirmedCases.data|Rush_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Rush_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Rush_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Rush_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Rush_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|498.0|0|498.0|0|15.0|0|0.0|100
0|2021-10-18|500.0|0|500.0|0|15.0|0|0.0|100
0|2021-10-19|500.0|0|500.0|0|15.0|0|0.0|100
0|2021-10-20|504.0|0|504.0|0|15.0|0|0.0|100
0|2021-10-21|504.0|0|504.0|0|15.0|0|0.0|100
0|2021-10-22|504.0|0|504.0|0|15.0|0|0.0|100
0|2021-10-23|504.0|0|504.0|0|15.0|0|0.0|100
0|2021-10-24|504.0|0|504.0|0|15.0|0|0.0|100
0|2021-10-25|506.0|0|506.0|0|15.0|0|0.0|100
0|2021-10-26|506.0|0|506.0|0|15.0|0|0.0|100
0|2021-10-27|508.0|0|508.0|0|15.0|0|0.0|100
0|2021-10-28|508.0|0|508.0|0|15.0|0|0.0|100
0|2021-10-29|515.0|0|515.0|0|16.0|0|0.0|100
0|2021-10-30|515.0|0|515.0|0|16.0|0|0.0|100
0|2021-10-31|515.0|0|515.0|0|16.0|0|0.0|100
0|2021-11-01|515.0|0|515.0|0|16.0|0|0.0|100
0|2021-11-02|515.0|0|515.0|0|16.0|0|0.0|100
0|2021-11-03|519.0|0|519.0|0|16.0|0|0.0|100
0|2021-11-04|519.0|0|519.0|0|16.0|0|0.0|100
0|2021-11-05|519.0|0|519.0|0|16.0|0|0.0|100
0|2021-11-06|519.0|0|519.0|0|16.0|0|0.0|100
0|2021-11-07|519.0|0|519.0|0|16.0|0|0.0|100
0|2021-11-08|524.0|0|524.0|0|16.0|0|0.0|100
0|2021-11-09|524.0|0|524.0|0|16.0|0|0.0|100
0|2021-11-10|527.0|0|527.0|0|16.0|0|0.0|100
