|dates|Mahoning_Ohio_UnitedStates.JHU_ConfirmedCases.data|Mahoning_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Mahoning_Ohio_UnitedStates.NYT_ConfirmedCases.data|Mahoning_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Mahoning_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Mahoning_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Mahoning_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Mahoning_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|30234.0|0|30234.0|0|712.0|0|0.0|100
0|2021-10-18|30315.0|0|30315.0|0|714.0|0|0.0|100
0|2021-10-19|30400.0|0|30400.0|0|715.0|0|0.0|100
0|2021-10-20|30493.0|0|30493.0|0|717.0|0|0.0|100
0|2021-10-21|30598.0|0|30598.0|0|720.0|0|0.0|100
0|2021-10-22|30719.0|0|30719.0|0|721.0|0|0.0|100
0|2021-10-23|30787.0|0|30787.0|0|722.0|0|0.0|100
0|2021-10-24|30856.0|0|30856.0|0|723.0|0|0.0|100
0|2021-10-25|30927.0|0|30927.0|0|725.0|0|0.0|100
0|2021-10-26|30996.0|0|30996.0|0|726.0|0|0.0|100
0|2021-10-27|31063.0|0|31063.0|0|726.0|0|0.0|100
0|2021-10-28|31178.0|0|31178.0|0|726.0|0|0.0|100
0|2021-10-29|31254.0|0|31254.0|0|726.0|0|0.0|100
0|2021-10-30|31342.0|0|31342.0|0|726.0|0|0.0|100
0|2021-10-31|31383.0|0|31383.0|0|726.0|0|0.0|100
0|2021-11-01|31450.0|0|31450.0|0|726.0|0|0.0|100
0|2021-11-02|31550.0|0|31550.0|0|726.0|0|0.0|100
0|2021-11-03|31663.0|0|31663.0|0|726.0|0|0.0|100
0|2021-11-04|31772.0|0|31772.0|0|726.0|0|0.0|100
0|2021-11-05|31889.0|0|31889.0|0|726.0|0|0.0|100
0|2021-11-06|31964.0|0|31964.0|0|726.0|0|0.0|100
0|2021-11-07|32062.0|0|32062.0|0|726.0|0|0.0|100
0|2021-11-08|32140.0|0|32140.0|0|726.0|0|0.0|100
0|2021-11-09|32295.0|0|32295.0|0|735.0|0|0.0|100
