|dates|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedCases.data|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|SanMiguel_NewMexico_UnitedStates.NYT_ConfirmedCases.data|SanMiguel_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|SanMiguel_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2524.0|0|2524.0|0|22.0|0|0.0|100
0|2021-10-18|2548.0|0|2548.0|0|22.0|0|0.0|100
0|2021-10-19|2554.0|0|2554.0|0|22.0|0|0.0|100
0|2021-10-20|2558.0|0|2558.0|0|22.0|0|0.0|100
0|2021-10-21|2563.0|0|2563.0|0|23.0|0|0.0|100
0|2021-10-22|2566.0|0|2566.0|0|23.0|0|0.0|100
0|2021-10-23|2566.0|0|2566.0|0|23.0|0|0.0|100
0|2021-10-24|2566.0|0|2566.0|0|23.0|0|0.0|100
0|2021-10-25|2589.0|0|2589.0|0|24.0|0|0.0|100
0|2021-10-26|2595.0|0|2595.0|0|26.0|0|0.0|100
0|2021-10-27|2601.0|0|2601.0|0|26.0|0|0.0|100
0|2021-10-28|2623.0|0|2623.0|0|26.0|0|0.0|100
0|2021-10-29|2636.0|0|2636.0|0|26.0|0|0.0|100
0|2021-10-30|2636.0|0|2636.0|0|26.0|0|0.0|100
0|2021-10-31|2636.0|0|2636.0|0|26.0|0|0.0|100
0|2021-11-01|2657.0|0|2657.0|0|26.0|0|0.0|100
0|2021-11-02|2660.0|0|2660.0|0|26.0|0|0.0|100
0|2021-11-03|2668.0|0|2668.0|0|26.0|0|0.0|100
0|2021-11-04|2686.0|0|2686.0|0|27.0|0|0.0|100
0|2021-11-05|2698.0|0|2698.0|0|27.0|0|0.0|100
0|2021-11-06|2698.0|0|2698.0|0|27.0|0|0.0|100
