|dates|Story_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Story_Iowa_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Story_Iowa_UnitedStates.Male_Total_Population.data|Story_Iowa_UnitedStates.Male_Total_Population.missing|Story_Iowa_UnitedStates.Female_Total_Population.data|Story_Iowa_UnitedStates.Female_Total_Population.missing|Story_Iowa_UnitedStates.MaleAndFemale_Under18_Population.data|Story_Iowa_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-18|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-19|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-20|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-21|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-22|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-23|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-24|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-25|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-26|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-27|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-28|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-29|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-30|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-10-31|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-01|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-02|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-03|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-04|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-05|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-06|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-07|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-08|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-09|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-10|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-11|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-12|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-13|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-14|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-15|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-16|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-17|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-18|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-19|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-20|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-21|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-22|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-23|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-24|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-25|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-26|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-27|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-28|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-29|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-11-30|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-12-01|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-12-02|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-12-03|11812.0|0|51227.0|0|46878.0|0|16245.0|0
0|2021-12-04|11812.0|0|51227.0|0|46878.0|0|16245.0|0
