|dates|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Marathon_Wisconsin_UnitedStates.NYT_ConfirmedCases.data|Marathon_Wisconsin_UnitedStates.NYT_ConfirmedCases.missing|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Marathon_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|20525.0|0|20525.0|0|261.0|0|0.0|100
0|2021-10-18|20625.0|0|20625.0|0|261.0|0|0.0|100
0|2021-10-19|20680.0|0|20680.0|0|262.0|0|0.0|100
0|2021-10-20|20764.0|0|20764.0|0|264.0|0|0.0|100
0|2021-10-21|20847.0|0|20847.0|0|265.0|0|0.0|100
0|2021-10-22|20913.0|0|20913.0|0|266.0|0|0.0|100
0|2021-10-23|20913.0|0|20913.0|0|266.0|0|0.0|100
0|2021-10-24|20913.0|0|20913.0|0|266.0|0|0.0|100
0|2021-10-25|21070.0|0|21070.0|0|267.0|0|0.0|100
0|2021-10-26|21187.0|0|21187.0|0|268.0|0|0.0|100
0|2021-10-27|21282.0|0|21282.0|0|271.0|0|0.0|100
0|2021-10-28|21371.0|0|21371.0|0|271.0|0|0.0|100
0|2021-10-29|21467.0|0|21467.0|0|273.0|0|0.0|100
0|2021-10-30|21467.0|0|21467.0|0|273.0|0|0.0|100
0|2021-10-31|21467.0|0|21467.0|0|273.0|0|0.0|100
0|2021-11-01|21677.0|0|21677.0|0|273.0|0|0.0|100
0|2021-11-02|21790.0|0|21790.0|0|277.0|0|0.0|100
0|2021-11-03|21881.0|0|21881.0|0|279.0|0|0.0|100
0|2021-11-04|22004.0|0|22004.0|0|282.0|0|0.0|100
0|2021-11-05|22099.0|0|22099.0|0|283.0|0|0.0|100
0|2021-11-06|22099.0|0|22099.0|0|283.0|0|0.0|100
0|2021-11-07|22099.0|0|22099.0|0|283.0|0|0.0|100
0|2021-11-08|22416.0|0|22416.0|0|291.0|0|0.0|100
0|2021-11-09|22532.0|0|22532.0|0|293.0|0|0.0|100
0|2021-11-10|22532.0|0|22614.0|0|293.0|0|0.0|100
0|2021-11-11|22787.0|0|22787.0|0|295.0|0|0.0|100
0|2021-11-12|22895.0|0|22895.0|0|297.0|0|0.0|100
0|2021-11-13|22895.0|0|22895.0|0|297.0|0|0.0|100
0|2021-11-14|22895.0|0|22895.0|0|297.0|0|0.0|100
0|2021-11-15|23151.0|0|23151.0|0|297.0|0|0.0|100
0|2021-11-16|23330.0|0|23330.0|0|298.0|0|0.0|100
0|2021-11-17|23432.0|0|23432.0|0|304.0|0|0.0|100
0|2021-11-18|23621.0|0|23621.0|0|306.0|0|0.0|100
0|2021-11-19|23725.0|0|23725.0|0|309.0|0|0.0|100
0|2021-11-20|23725.0|0|23725.0|0|309.0|0|0.0|100
0|2021-11-21|23725.0|0|23725.0|0|309.0|0|0.0|100
0|2021-11-22|23983.0|0|23983.0|0|310.0|0|0.0|100
0|2021-11-23|24157.0|0|24157.0|0|316.0|0|0.0|100
0|2021-11-24|24249.0|0|24249.0|0|316.0|0|0.0|100
