|dates|Sumner_Kansas_UnitedStates.AveragePrecipitationTotal.data|Sumner_Kansas_UnitedStates.AveragePrecipitationTotal.missing|Sumner_Kansas_UnitedStates.AveragePrecipitation.data|Sumner_Kansas_UnitedStates.AveragePrecipitation.missing|Sumner_Kansas_UnitedStates.AverageWindDirection.data|Sumner_Kansas_UnitedStates.AverageWindDirection.missing|Sumner_Kansas_UnitedStates.AverageWindSpeed.data|Sumner_Kansas_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|121.25|0|5.625|0
0|2021-10-18|0.0|0|0.0|0|148.75|0|9.916666666666666|0
0|2021-10-19|0.0|0|0.0|0|156.66666666666666|0|13.5|0
0|2021-10-20|0.0|0|0.0|0|265.2083333333333|0|9.479166666666666|0
0|2021-10-21|0.0|0|0.0|0|252.5|0|6.125|0
0|2021-10-22|0.0|0|0.0|0|128.75|0|6.875|0
0|2021-10-23|0.0|0|0.0|0|154.16666666666666|0|10.083333333333334|0
0|2021-10-24|0.0016666666666666668|0|0.0015625000000000003|0|182.63888888888889|0|13.454861111111109|0
0|2021-10-25|0.0|0|0.0|0|131.80555555555554|0|7.722222222222221|0
0|2021-10-26|0.0|0|0.0|0|132.8472222222222|0|15.104166666666666|0
0|2021-10-27|0.012083333333333333|0|0.020208333333333335|0|227.19444444444446|0|15.8125|0
0|2021-10-28|0.021666666666666667|0|0.009166666666666667|0|332.5|0|24.5625|0
0|2021-10-29|0.0|0|0.0|0|320.0|0|16.625|0
0|2021-10-30|0.0|0|0.0|0|100.83333333333333|0|2.4583333333333335|0
0|2021-10-31|0.0|0|0.0|0|140.0|0|12.402777777777779|0
0|2021-11-01|0.0|0|0.0|0|52.5|0|10.875|0
0|2021-11-02|0.0|0|0.005208333333333333|0|50.416666666666664|0|6.763888888888889|0
0|2021-11-03|0.007916666666666667|0|0.0020833333333333333|0|46.25|0|3.875|0
0|2021-11-04|0.0|0|0.0|0|155.76388888888889|0|5.1875|0
0|2021-11-05|0.0|0|0.0|0|163.54166666666666|0|7.861111111111112|0
0|2021-11-06|0.0|0|0.0|0|164.58333333333334|0|8.833333333333334|0
0|2021-11-07|0.0|0|0.0|0|177.08333333333334|0|14.0625|0
0|2021-11-08|0.0|0|0.0|0|171.25|0|10.25|0
0|2021-11-09|0.0|0|0.0|0|129.93055555555557|0|3.1875|0
0|2021-11-10|0.0|0|0.0009722222222222223|0|207.0277777777778|0|11.843055555555557|0
0|2021-11-11|0.0020833333333333333|0|0.0008333333333333334|0|265.0|0|9.333333333333334|0
0|2021-11-12|0.004583333333333333|0|0.00375|0|291.25|0|12.166666666666666|0
0|2021-11-13|0.0|0|0.0|0|135.83333333333334|0|5.208333333333333|0
0|2021-11-14|0.0|0|0.0|0|220.83333333333334|0|6.041666666666667|0
0|2021-11-15|0.0|0|0.0|0|171.25|0|8.416666666666666|0
0|2021-11-16|0.0|0|0.0|0|167.5|0|12.3125|0
0|2021-11-17|0.0|0|0.0|0|183.33333333333334|0|16.145833333333332|0
0|2021-11-18|0.0|0|0.0|0|213.75|0|3.9166666666666665|0
0|2021-11-19|0.0|0|0.0|0|158.75|0|12.083333333333334|0
0|2021-11-20|0.0|0|0.0|0|110.41666666666667|0|6.333333333333333|0
0|2021-11-21|0.0|0|0.0|0|235.83333333333334|0|10.333333333333334|0
0|2021-11-22|0.0|0|0.0|0|93.95833333333333|0|4.395833333333333|0
0|2021-11-23|0.0|0|0.0|0|142.5|0|12.791666666666666|0
0|2021-11-24|0.0|0|0.0|0|225.41666666666666|0|18.916666666666668|0
0|2021-11-25|0.0|0|0.0|0|273.3333333333333|0|10.5|0
0|2021-11-26|0.0|0|0.0|0|184.58333333333334|0|9.0|0
0|2021-11-27|0.0|0|0.0|0|240.83333333333334|0|7.833333333333333|0
0|2021-11-28|0.0|0|0.0|0|177.08333333333334|0|4.291666666666667|0
0|2021-11-29|0.0|0|0.0|0|167.91666666666666|0|5.916666666666667|0
0|2021-11-30|0.0|0|0.0|0|55.416666666666664|0|6.458333333333333|0
0|2021-12-01|0.0|0|0.0|0|192.91666666666666|0|4.208333333333333|0
0|2021-12-02|0.0|0|0.0|0|143.33333333333334|0|4.75|0
0|2021-12-03|0.0|0|0.0|0|123.33333333333333|0|5.958333333333333|0
0|2021-12-04|0.0|0|0.0|0|71.11111111111111|0|8.67361111111111|0
0|2021-12-05|0.0|0|0.0|0|239.47916666666666|0|15.267361111111109|0
0|2021-12-06|0.0|0|0.0|0|167.91666666666666|0|12.375|0
0|2021-12-07|0.0|0|0.0|0|133.33333333333334|0|7.291666666666667|0
0|2021-12-08|0.0|0|0.0|0|122.5|0|8.416666666666666|0
0|2021-12-09|0.0|0|0.0|0|139.16666666666666|0|6.875|0
0|2021-12-10|0.0|0|0.0008333333333333334|0|209.16666666666666|0|15.125|0
0|2021-12-11|0.0008333333333333334|0|0.0|0|250.0|0|8.6875|0
0|2021-12-12|0.0|0|0.0|0|167.5|0|13.125|0
0|2021-12-13|0.0|0|0.0|0|160.83333333333334|0|10.291666666666666|0
0|2021-12-14|0.0|0|0.0|0|169.375|0|14.333333333333334|0
0|2021-12-15|0.0|0|0.008819444444444444|0|209.375|0|19.27777777777778|0
