|dates|Weber_Utah_UnitedStates.JHU_ConfirmedCases.data|Weber_Utah_UnitedStates.JHU_ConfirmedCases.missing|Weber_Utah_UnitedStates.NYT_ConfirmedCases.data|Weber_Utah_UnitedStates.NYT_ConfirmedCases.missing|Weber_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Weber_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Weber_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Weber_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|112.0|0|40553.0|0|1.0|0|0.0|100
0|2021-10-18|112.0|0|40816.0|0|1.0|0|0.0|100
0|2021-10-19|112.0|0|40816.0|0|1.0|0|0.0|100
0|2021-10-20|112.0|0|41127.0|0|1.0|0|0.0|100
0|2021-10-21|112.0|0|41325.0|0|1.0|0|0.0|100
0|2021-10-22|112.0|0|41325.0|0|1.0|0|0.0|100
0|2021-10-23|112.0|0|41325.0|0|1.0|0|0.0|100
0|2021-10-24|112.0|0|41325.0|0|1.0|0|0.0|100
0|2021-10-25|112.0|0|41638.0|0|1.0|0|0.0|100
0|2021-10-26|112.0|0|42141.0|0|1.0|0|0.0|100
0|2021-10-27|112.0|0|42328.0|0|1.0|0|0.0|100
0|2021-10-28|112.0|0|42328.0|0|1.0|0|0.0|100
0|2021-10-29|112.0|0|42666.0|0|1.0|0|0.0|100
0|2021-10-30|112.0|0|42666.0|0|1.0|0|0.0|100
0|2021-10-31|112.0|0|42666.0|0|1.0|0|0.0|100
0|2021-11-01|112.0|0|42947.0|0|1.0|0|0.0|100
0|2021-11-02|112.0|0|43077.0|0|1.0|0|0.0|100
0|2021-11-03|112.0|0|43077.0|0|1.0|0|0.0|100
0|2021-11-04|112.0|0|43139.0|0|1.0|0|0.0|100
0|2021-11-05|112.0|0|43726.0|0|1.0|0|0.0|100
0|2021-11-06|112.0|0|43726.0|0|1.0|0|0.0|100
0|2021-11-07|112.0|0|43726.0|0|1.0|0|0.0|100
0|2021-11-08|112.0|0|44017.0|0|1.0|0|0.0|100
0|2021-11-09|112.0|0|44158.0|0|1.0|0|0.0|100
0|2021-11-10|112.0|0|44302.0|0|1.0|0|0.0|100
0|2021-11-11|112.0|0|44302.0|0|1.0|0|0.0|100
