|dates|Morton_Kansas_UnitedStates.JHU_ConfirmedCases.data|Morton_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Morton_Kansas_UnitedStates.NYT_ConfirmedCases.data|Morton_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Morton_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Morton_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Morton_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Morton_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|337.0|0|337.0|0|9.0|0|0.0|100
0|2021-10-18|341.0|0|341.0|0|9.0|0|0.0|100
0|2021-10-19|341.0|0|341.0|0|9.0|0|0.0|100
0|2021-10-20|358.0|0|358.0|0|9.0|0|0.0|100
0|2021-10-21|358.0|0|358.0|0|9.0|0|0.0|100
0|2021-10-22|367.0|0|367.0|0|9.0|0|0.0|100
0|2021-10-23|367.0|0|367.0|0|9.0|0|0.0|100
0|2021-10-24|367.0|0|367.0|0|9.0|0|0.0|100
0|2021-10-25|372.0|0|372.0|0|9.0|0|0.0|100
0|2021-10-26|372.0|0|372.0|0|9.0|0|0.0|100
0|2021-10-27|378.0|0|378.0|0|9.0|0|0.0|100
0|2021-10-28|378.0|0|378.0|0|9.0|0|0.0|100
0|2021-10-29|387.0|0|387.0|0|9.0|0|0.0|100
0|2021-10-30|387.0|0|387.0|0|9.0|0|0.0|100
0|2021-10-31|387.0|0|387.0|0|9.0|0|0.0|100
0|2021-11-01|391.0|0|391.0|0|9.0|0|0.0|100
0|2021-11-02|391.0|0|391.0|0|9.0|0|0.0|100
0|2021-11-03|398.0|0|398.0|0|9.0|0|0.0|100
0|2021-11-04|398.0|0|398.0|0|9.0|0|0.0|100
0|2021-11-05|406.0|0|406.0|0|9.0|0|0.0|100
0|2021-11-06|406.0|0|406.0|0|9.0|0|0.0|100
0|2021-11-07|406.0|0|406.0|0|9.0|0|0.0|100
0|2021-11-08|410.0|0|410.0|0|9.0|0|0.0|100
0|2021-11-09|410.0|0|410.0|0|9.0|0|0.0|100
0|2021-11-10|410.0|0|419.0|0|9.0|0|0.0|100
0|2021-11-11|419.0|0|419.0|0|9.0|0|0.0|100
0|2021-11-12|425.0|0|425.0|0|9.0|0|0.0|100
0|2021-11-13|425.0|0|425.0|0|9.0|0|0.0|100
0|2021-11-14|425.0|0|425.0|0|9.0|0|0.0|100
0|2021-11-15|425.0|0|425.0|0|9.0|0|0.0|100
0|2021-11-16|425.0|0|425.0|0|9.0|0|0.0|100
0|2021-11-17|434.0|0|434.0|0|9.0|0|0.0|100
0|2021-11-18|434.0|0|434.0|0|9.0|0|0.0|100
0|2021-11-19|438.0|0|438.0|0|9.0|0|0.0|100
0|2021-11-20|438.0|0|438.0|0|9.0|0|0.0|100
0|2021-11-21|438.0|0|438.0|0|9.0|0|0.0|100
0|2021-11-22|442.0|0|442.0|0|9.0|0|0.0|100
0|2021-11-23|442.0|0|442.0|0|9.0|0|0.0|100
0|2021-11-24|442.0|0|444.0|0|9.0|0|0.0|100
0|2021-11-25|444.0|0|444.0|0|9.0|0|0.0|100
0|2021-11-26|444.0|0|444.0|0|9.0|0|0.0|100
0|2021-11-27|444.0|0|444.0|0|9.0|0|0.0|100
0|2021-11-28|444.0|0|444.0|0|9.0|0|0.0|100
0|2021-11-29|450.0|0|450.0|0|9.0|0|0.0|100
0|2021-11-30|450.0|0|450.0|0|9.0|0|0.0|100
0|2021-12-01|450.0|0|450.0|0|10.0|0|0.0|100
0|2021-12-02|450.0|0|450.0|0|10.0|0|0.0|100
0|2021-12-03|450.0|0|455.0|0|10.0|0|0.0|100
0|2021-12-04|455.0|0|455.0|0|10.0|0|0.0|100
0|2021-12-05|455.0|0|455.0|0|10.0|0|0.0|100
0|2021-12-06|456.0|0|456.0|0|10.0|0|0.0|100
0|2021-12-07|456.0|0|456.0|0|10.0|0|0.0|100
0|2021-12-08|461.0|0|461.0|0|10.0|0|0.0|100
0|2021-12-09|461.0|0|461.0|0|10.0|0|0.0|100
0|2021-12-10|462.0|0|462.0|0|10.0|0|0.0|100
0|2021-12-11|462.0|0|462.0|0|10.0|0|0.0|100
0|2021-12-12|462.0|0|462.0|0|10.0|0|0.0|100
0|2021-12-13|464.0|0|464.0|0|10.0|0|0.0|100
0|2021-12-14|464.0|0|464.0|0|10.0|0|0.0|100
0|2021-12-15|468.0|0|468.0|0|10.0|0|0.0|100
0|2021-12-16|468.0|0|468.0|0|10.0|0|0.0|100
0|2021-12-17|474.0|0|474.0|0|10.0|0|0.0|100
0|2021-12-18|474.0|0|474.0|0|10.0|0|0.0|100
0|2021-12-19|474.0|0|474.0|0|10.0|0|0.0|100
0|2021-12-20|475.0|0|475.0|0|10.0|0|0.0|100
0|2021-12-21|475.0|0|475.0|0|10.0|0|0.0|100
0|2021-12-22|480.0|0|480.0|0|10.0|0|0.0|100
0|2021-12-23|480.0|0|480.0|0|10.0|0|0.0|100
0|2021-12-24|480.0|0|480.0|0|10.0|0|0.0|100
0|2021-12-25|480.0|0|480.0|0|10.0|0|0.0|100
0|2021-12-26|480.0|0|480.0|0|10.0|0|0.0|100
0|2021-12-27|482.0|0|482.0|0|10.0|0|0.0|100
0|2021-12-28|482.0|0|482.0|0|10.0|0|0.0|100
0|2021-12-29|487.0|0|487.0|0|10.0|0|0.0|100
0|2021-12-30|487.0|0|487.0|0|10.0|0|0.0|100
0|2021-12-31|487.0|0|487.0|0|10.0|0|0.0|100
0|2022-01-01|487.0|0|487.0|0|10.0|0|0.0|100
0|2022-01-02|487.0|0|487.0|0|10.0|0|0.0|100
0|2022-01-03|493.0|0|493.0|0|10.0|0|0.0|100
0|2022-01-04|493.0|0|493.0|0|10.0|0|0.0|100
0|2022-01-05|505.0|0|505.0|0|10.0|0|0.0|100
0|2022-01-06|505.0|0|505.0|0|10.0|0|0.0|100
0|2022-01-07|517.0|0|517.0|0|10.0|0|0.0|100
0|2022-01-08|517.0|0|517.0|0|10.0|0|0.0|100
0|2022-01-09|517.0|0|517.0|0|10.0|0|0.0|100
0|2022-01-10|520.0|0|520.0|0|10.0|0|0.0|100
0|2022-01-11|520.0|0|520.0|0|10.0|0|0.0|100
0|2022-01-12|520.0|0|527.0|0|10.0|0|0.0|100
0|2022-01-13|520.0|0|533.0|0|10.0|0|0.0|100
0|2022-01-14|542.0|0|542.0|0|10.0|0|0.0|100
0|2022-01-15|542.0|0|542.0|0|10.0|0|0.0|100
0|2022-01-16|542.0|0|542.0|0|10.0|0|0.0|100
0|2022-01-17|542.0|0|0.0|100|10.0|0|0.0|100
