|dates|Barry_Michigan_UnitedStates.JHU_ConfirmedCases.data|Barry_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Barry_Michigan_UnitedStates.NYT_ConfirmedCases.data|Barry_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Barry_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Barry_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Barry_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Barry_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7489.0|0|7489.0|0|81.0|0|0.0|100
0|2021-10-18|7547.0|0|7547.0|0|81.0|0|0.0|100
0|2021-10-19|7547.0|0|7547.0|0|81.0|0|0.0|100
0|2021-10-20|7612.0|0|7612.0|0|81.0|0|0.0|100
0|2021-10-21|7612.0|0|7612.0|0|81.0|0|0.0|100
0|2021-10-22|7701.0|0|7701.0|0|83.0|0|0.0|100
0|2021-10-23|7701.0|0|7701.0|0|83.0|0|0.0|100
0|2021-10-24|7701.0|0|7701.0|0|83.0|0|0.0|100
0|2021-10-25|7747.0|0|7747.0|0|84.0|0|0.0|100
0|2021-10-26|7747.0|0|7747.0|0|84.0|0|0.0|100
0|2021-10-27|7812.0|0|7812.0|0|84.0|0|0.0|100
0|2021-10-28|7812.0|0|7812.0|0|84.0|0|0.0|100
0|2021-10-29|7927.0|0|7927.0|0|85.0|0|0.0|100
0|2021-10-30|7927.0|0|7927.0|0|85.0|0|0.0|100
0|2021-10-31|7927.0|0|7927.0|0|85.0|0|0.0|100
0|2021-11-01|7988.0|0|7988.0|0|88.0|0|0.0|100
0|2021-11-02|7988.0|0|7988.0|0|88.0|0|0.0|100
0|2021-11-03|8110.0|0|8110.0|0|90.0|0|0.0|100
0|2021-11-04|8110.0|0|8110.0|0|90.0|0|0.0|100
0|2021-11-05|8250.0|0|8250.0|0|91.0|0|0.0|100
0|2021-11-06|8250.0|0|8250.0|0|91.0|0|0.0|100
0|2021-11-07|8250.0|0|8250.0|0|91.0|0|0.0|100
0|2021-11-08|8325.0|0|8325.0|0|92.0|0|0.0|100
0|2021-11-09|8325.0|0|8325.0|0|92.0|0|0.0|100
0|2021-11-10|8436.0|0|8436.0|0|92.0|0|0.0|100
0|2021-11-11|8436.0|0|8436.0|0|92.0|0|0.0|100
0|2021-11-12|8591.0|0|8591.0|0|92.0|0|0.0|100
