|dates|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Mercer_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Mercer_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|13152.0|0|13152.0|0|311.0|0|0.0|100
0|2021-10-18|13194.0|0|13194.0|0|315.0|0|0.0|100
0|2021-10-19|13240.0|0|13240.0|0|316.0|0|0.0|100
0|2021-10-20|13282.0|0|13282.0|0|318.0|0|0.0|100
0|2021-10-21|13328.0|0|13328.0|0|319.0|0|0.0|100
0|2021-10-22|13370.0|0|13370.0|0|321.0|0|0.0|100
0|2021-10-23|13444.0|0|13444.0|0|322.0|0|0.0|100
0|2021-10-24|13472.0|0|13472.0|0|322.0|0|0.0|100
0|2021-10-25|13510.0|0|13510.0|0|322.0|0|0.0|100
0|2021-10-26|13564.0|0|13564.0|0|325.0|0|0.0|100
0|2021-10-27|13623.0|0|13623.0|0|331.0|0|0.0|100
0|2021-10-28|13649.0|0|13649.0|0|332.0|0|0.0|100
0|2021-10-29|13703.0|0|13703.0|0|337.0|0|0.0|100
0|2021-10-30|13769.0|0|13769.0|0|338.0|0|0.0|100
0|2021-10-31|13800.0|0|13800.0|0|338.0|0|0.0|100
0|2021-11-01|13800.0|0|13800.0|0|338.0|0|0.0|100
0|2021-11-02|13899.0|0|13899.0|0|338.0|0|0.0|100
0|2021-11-03|13957.0|0|13957.0|0|342.0|0|0.0|100
0|2021-11-04|14014.0|0|14014.0|0|345.0|0|0.0|100
0|2021-11-05|14095.0|0|14095.0|0|347.0|0|0.0|100
0|2021-11-06|14161.0|0|14161.0|0|348.0|0|0.0|100
0|2021-11-07|14191.0|0|14191.0|0|348.0|0|0.0|100
0|2021-11-08|14243.0|0|14243.0|0|348.0|0|0.0|100
0|2021-11-09|14266.0|0|14266.0|0|351.0|0|0.0|100
0|2021-11-10|14266.0|0|14324.0|0|351.0|0|0.0|100
0|2021-11-11|14378.0|0|14378.0|0|353.0|0|0.0|100
0|2021-11-12|14441.0|0|14441.0|0|353.0|0|0.0|100
0|2021-11-13|14713.0|0|14713.0|0|354.0|0|0.0|100
0|2021-11-14|14775.0|0|14775.0|0|356.0|0|0.0|100
0|2021-11-15|14837.0|0|14837.0|0|356.0|0|0.0|100
0|2021-11-16|14905.0|0|14905.0|0|357.0|0|0.0|100
0|2021-11-17|14939.0|0|14939.0|0|360.0|0|0.0|100
0|2021-11-18|15023.0|0|15023.0|0|361.0|0|0.0|100
0|2021-11-19|15120.0|0|15120.0|0|361.0|0|0.0|100
0|2021-11-20|15216.0|0|15216.0|0|361.0|0|0.0|100
0|2021-11-21|15277.0|0|15277.0|0|361.0|0|0.0|100
0|2021-11-22|15363.0|0|15363.0|0|361.0|0|0.0|100
0|2021-11-23|15402.0|0|15402.0|0|364.0|0|0.0|100
0|2021-11-24|15474.0|0|15474.0|0|365.0|0|0.0|100
0|2021-11-25|15528.0|0|15528.0|0|370.0|0|0.0|100
0|2021-11-26|15609.0|0|15609.0|0|370.0|0|0.0|100
0|2021-11-27|15663.0|0|15663.0|0|370.0|0|0.0|100
0|2021-11-28|15704.0|0|15704.0|0|371.0|0|0.0|100
0|2021-11-29|15759.0|0|15759.0|0|372.0|0|0.0|100
0|2021-11-30|15832.0|0|15832.0|0|374.0|0|0.0|100
0|2021-12-01|15906.0|0|15906.0|0|374.0|0|0.0|100
0|2021-12-02|16010.0|0|16010.0|0|375.0|0|0.0|100
0|2021-12-03|16129.0|0|16129.0|0|376.0|0|0.0|100
0|2021-12-04|16129.0|0|16220.0|0|376.0|0|0.0|100
