|dates|Woodson_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Woodson_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Woodson_Kansas_UnitedStates.Male_Total_Population.data|Woodson_Kansas_UnitedStates.Male_Total_Population.missing|Woodson_Kansas_UnitedStates.Female_Total_Population.data|Woodson_Kansas_UnitedStates.Female_Total_Population.missing|Woodson_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Woodson_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-18|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-19|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-20|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-21|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-22|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-23|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-24|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-25|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-26|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-27|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-28|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-29|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-30|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-10-31|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-01|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-02|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-03|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-04|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-05|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-06|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-07|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-08|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-09|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-10|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-11|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-12|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-13|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-14|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-15|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-16|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-17|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-18|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-19|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-20|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-21|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-22|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-23|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-24|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-25|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-26|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-27|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-28|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-29|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-11-30|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-01|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-02|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-03|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-04|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-05|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-06|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-07|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-08|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-09|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-10|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-11|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-12|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-13|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-14|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-15|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-16|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-17|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-18|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-19|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-20|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-21|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-22|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-23|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-24|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-25|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-26|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-27|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-28|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-29|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-30|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2021-12-31|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-01|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-02|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-03|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-04|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-05|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-06|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-07|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-08|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-09|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-10|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-11|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-12|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-13|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-14|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-15|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-16|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2022-01-17|773.0|0|1601.0|0|1582.0|0|672.0|0
