|dates|Fisher_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Fisher_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Fisher_Texas_UnitedStates.Male_Total_Population.data|Fisher_Texas_UnitedStates.Male_Total_Population.missing|Fisher_Texas_UnitedStates.Female_Total_Population.data|Fisher_Texas_UnitedStates.Female_Total_Population.missing|Fisher_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Fisher_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-18|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-19|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-20|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-21|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-22|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-23|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-24|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-25|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-26|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-27|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-28|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-29|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-30|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-10-31|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-01|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-02|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-03|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-04|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-05|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-06|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-07|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-08|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-09|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-10|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-11|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-12|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-13|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-14|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-15|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-16|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-17|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-18|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-19|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-20|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-21|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-22|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-23|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-24|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-25|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-26|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-27|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-28|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-29|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-11-30|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-01|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-02|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-03|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-04|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-05|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-06|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-07|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-08|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-09|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-10|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-11|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-12|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-13|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-14|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-15|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-16|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-17|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-18|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-19|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-20|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-21|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-22|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-23|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-24|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-25|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-26|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-27|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-28|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-29|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-30|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2021-12-31|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-01|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-02|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-03|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-04|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-05|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-06|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-07|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-08|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-09|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-10|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-11|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-12|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-13|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-14|943.0|0|1903.0|0|1936.0|0|812.0|0
0|2022-01-15|943.0|0|1903.0|0|1936.0|0|812.0|0
