|dates|Hancock_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hancock_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hancock_Kentucky_UnitedStates.Male_Total_Population.data|Hancock_Kentucky_UnitedStates.Male_Total_Population.missing|Hancock_Kentucky_UnitedStates.Female_Total_Population.data|Hancock_Kentucky_UnitedStates.Female_Total_Population.missing|Hancock_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Hancock_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-18|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-19|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-20|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-21|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-22|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-23|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-24|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-25|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-26|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-27|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-28|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-29|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-30|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-10-31|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-01|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-02|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-03|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-04|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-05|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-06|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-07|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-08|1486.0|0|4494.0|0|4264.0|0|2238.0|0
0|2021-11-09|1486.0|0|4494.0|0|4264.0|0|2238.0|0
