|dates|Franklin_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Franklin_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Franklin_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Franklin_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Franklin_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9701.0|0|9701.0|0|60.0|0|0.0|100
0|2021-10-18|9745.0|0|9745.0|0|60.0|0|0.0|100
0|2021-10-19|9756.0|0|9756.0|0|61.0|0|0.0|100
0|2021-10-20|9785.0|0|9785.0|0|61.0|0|0.0|100
0|2021-10-21|9807.0|0|9807.0|0|61.0|0|0.0|100
0|2021-10-22|9819.0|0|9819.0|0|61.0|0|0.0|100
0|2021-10-23|9819.0|0|9819.0|0|61.0|0|0.0|100
0|2021-10-24|9819.0|0|9819.0|0|61.0|0|0.0|100
0|2021-10-25|9847.0|0|9847.0|0|61.0|0|0.0|100
0|2021-10-26|9854.0|0|9854.0|0|61.0|0|0.0|100
0|2021-10-27|9883.0|0|9883.0|0|61.0|0|0.0|100
0|2021-10-28|9896.0|0|9896.0|0|61.0|0|0.0|100
0|2021-10-29|9907.0|0|9907.0|0|61.0|0|0.0|100
0|2021-10-30|9907.0|0|9907.0|0|61.0|0|0.0|100
0|2021-10-31|9907.0|0|9907.0|0|61.0|0|0.0|100
0|2021-11-01|9939.0|0|9939.0|0|61.0|0|0.0|100
0|2021-11-02|9945.0|0|9945.0|0|61.0|0|0.0|100
0|2021-11-03|9958.0|0|9958.0|0|61.0|0|0.0|100
0|2021-11-04|9969.0|0|9969.0|0|60.0|0|0.0|100
0|2021-11-05|9978.0|0|9978.0|0|60.0|0|0.0|100
0|2021-11-06|9978.0|0|9978.0|0|60.0|0|0.0|100
0|2021-11-07|9978.0|0|9978.0|0|60.0|0|0.0|100
0|2021-11-08|10015.0|0|10015.0|0|60.0|0|0.0|100
0|2021-11-09|10020.0|0|10020.0|0|62.0|0|0.0|100
0|2021-11-10|10041.0|0|10041.0|0|62.0|0|0.0|100
0|2021-11-11|10041.0|0|10041.0|0|62.0|0|0.0|100
0|2021-11-12|10079.0|0|10079.0|0|62.0|0|0.0|100
0|2021-11-13|10079.0|0|10079.0|0|62.0|0|0.0|100
0|2021-11-14|10079.0|0|10079.0|0|62.0|0|0.0|100
0|2021-11-15|10117.0|0|10117.0|0|62.0|0|0.0|100
0|2021-11-16|10123.0|0|10123.0|0|62.0|0|0.0|100
0|2021-11-17|10140.0|0|10140.0|0|62.0|0|0.0|100
0|2021-11-18|10156.0|0|10156.0|0|63.0|0|0.0|100
0|2021-11-19|10170.0|0|10170.0|0|63.0|0|0.0|100
0|2021-11-20|10170.0|0|10170.0|0|63.0|0|0.0|100
0|2021-11-21|10170.0|0|10170.0|0|63.0|0|0.0|100
0|2021-11-22|10212.0|0|10212.0|0|63.0|0|0.0|100
0|2021-11-23|10219.0|0|10219.0|0|63.0|0|0.0|100
0|2021-11-24|10240.0|0|10240.0|0|64.0|0|0.0|100
0|2021-11-25|10240.0|0|10240.0|0|64.0|0|0.0|100
0|2021-11-26|10240.0|0|10240.0|0|64.0|0|0.0|100
0|2021-11-27|10240.0|0|10240.0|0|64.0|0|0.0|100
0|2021-11-28|10240.0|0|10240.0|0|64.0|0|0.0|100
0|2021-11-29|10313.0|0|10313.0|0|64.0|0|0.0|100
