|dates|Alameda_California_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Alameda_California_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Alameda_California_UnitedStates.NYT_ConfirmedDeaths.data|Alameda_California_UnitedStates.NYT_ConfirmedDeaths.missing|Alameda_California_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Alameda_California_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Alameda_California_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Alameda_California_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|1374.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|1381.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|1384.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|1391.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|1400.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|1400.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|1400.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|1400.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|1415.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|1418.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|1427.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|1432.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|1432.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|1432.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|1419.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|1432.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|1432.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|1441.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|1441.0|0|0.0|100|0.0|100
