|dates|Maui_Hawaii_UnitedStates.JHU_ConfirmedCases.data|Maui_Hawaii_UnitedStates.JHU_ConfirmedCases.missing|Maui_Hawaii_UnitedStates.NYT_ConfirmedCases.data|Maui_Hawaii_UnitedStates.NYT_ConfirmedCases.missing|Maui_Hawaii_UnitedStates.JHU_ConfirmedDeaths.data|Maui_Hawaii_UnitedStates.JHU_ConfirmedDeaths.missing|Maui_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.data|Maui_Hawaii_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9724.0|0|9723.0|0|92.0|0|0.0|100
0|2021-10-18|9737.0|0|9736.0|0|92.0|0|0.0|100
0|2021-10-19|9751.0|0|9750.0|0|92.0|0|0.0|100
0|2021-10-20|9772.0|0|9771.0|0|92.0|0|0.0|100
0|2021-10-21|9794.0|0|9793.0|0|92.0|0|0.0|100
0|2021-10-22|9802.0|0|9801.0|0|92.0|0|0.0|100
0|2021-10-23|9823.0|0|9822.0|0|92.0|0|0.0|100
0|2021-10-24|9831.0|0|9830.0|0|94.0|0|0.0|100
0|2021-10-25|9839.0|0|9838.0|0|94.0|0|0.0|100
0|2021-10-26|9841.0|0|9840.0|0|94.0|0|0.0|100
0|2021-10-27|9854.0|0|9853.0|0|94.0|0|0.0|100
0|2021-10-28|9877.0|0|9876.0|0|94.0|0|0.0|100
0|2021-10-29|9899.0|0|9898.0|0|94.0|0|0.0|100
0|2021-10-30|9911.0|0|9910.0|0|94.0|0|0.0|100
0|2021-10-31|9933.0|0|9932.0|0|94.0|0|0.0|100
0|2021-11-01|9942.0|0|9941.0|0|94.0|0|0.0|100
0|2021-11-02|9945.0|0|9944.0|0|94.0|0|0.0|100
0|2021-11-03|9958.0|0|9957.0|0|94.0|0|0.0|100
0|2021-11-04|9976.0|0|9975.0|0|94.0|0|0.0|100
0|2021-11-05|9988.0|0|9987.0|0|94.0|0|0.0|100
0|2021-11-06|10003.0|0|10002.0|0|96.0|0|0.0|100
0|2021-11-07|10014.0|0|10013.0|0|98.0|0|0.0|100
0|2021-11-08|10022.0|0|10021.0|0|98.0|0|0.0|100
0|2021-11-09|10027.0|0|10026.0|0|98.0|0|0.0|100
0|2021-11-10|10027.0|0|10040.0|0|98.0|0|0.0|100
0|2021-11-11|10061.0|0|10060.0|0|98.0|0|0.0|100
0|2021-11-12|10076.0|0|10075.0|0|98.0|0|0.0|100
0|2021-11-13|10092.0|0|10091.0|0|98.0|0|0.0|100
0|2021-11-14|10108.0|0|10107.0|0|98.0|0|0.0|100
0|2021-11-15|10124.0|0|10123.0|0|98.0|0|0.0|100
0|2021-11-16|10131.0|0|10130.0|0|98.0|0|0.0|100
0|2021-11-17|10142.0|0|10141.0|0|99.0|0|0.0|100
0|2021-11-18|10164.0|0|10163.0|0|99.0|0|0.0|100
0|2021-11-19|10182.0|0|10181.0|0|99.0|0|0.0|100
0|2021-11-20|10203.0|0|10202.0|0|99.0|0|0.0|100
0|2021-11-21|10227.0|0|10226.0|0|99.0|0|0.0|100
0|2021-11-22|10246.0|0|10245.0|0|99.0|0|0.0|100
0|2021-11-23|10251.0|0|10250.0|0|99.0|0|0.0|100
0|2021-11-24|10265.0|0|10264.0|0|99.0|0|0.0|100
