|dates|Swain_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Swain_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Swain_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Swain_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Swain_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Swain_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Swain_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Swain_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1932.0|0|1932.0|0|22.0|0|0.0|100
0|2021-10-18|1939.0|0|1939.0|0|22.0|0|0.0|100
0|2021-10-19|1941.0|0|1941.0|0|22.0|0|0.0|100
0|2021-10-20|1943.0|0|1943.0|0|22.0|0|0.0|100
0|2021-10-21|1943.0|0|1943.0|0|23.0|0|0.0|100
0|2021-10-22|1945.0|0|1945.0|0|23.0|0|0.0|100
0|2021-10-23|1945.0|0|1945.0|0|23.0|0|0.0|100
0|2021-10-24|1945.0|0|1945.0|0|23.0|0|0.0|100
0|2021-10-25|1949.0|0|1949.0|0|23.0|0|0.0|100
0|2021-10-26|1951.0|0|1951.0|0|23.0|0|0.0|100
0|2021-10-27|1958.0|0|1958.0|0|23.0|0|0.0|100
0|2021-10-28|1966.0|0|1966.0|0|24.0|0|0.0|100
0|2021-10-29|1972.0|0|1972.0|0|24.0|0|0.0|100
0|2021-10-30|1972.0|0|1972.0|0|24.0|0|0.0|100
0|2021-10-31|1972.0|0|1972.0|0|24.0|0|0.0|100
0|2021-11-01|1986.0|0|1986.0|0|24.0|0|0.0|100
0|2021-11-02|1985.0|0|1985.0|0|24.0|0|0.0|100
0|2021-11-03|1985.0|0|1985.0|0|24.0|0|0.0|100
0|2021-11-04|1988.0|0|1988.0|0|24.0|0|0.0|100
0|2021-11-05|1988.0|0|1988.0|0|24.0|0|0.0|100
0|2021-11-06|1988.0|0|1988.0|0|24.0|0|0.0|100
0|2021-11-07|1988.0|0|1988.0|0|24.0|0|0.0|100
0|2021-11-08|1988.0|0|1988.0|0|24.0|0|0.0|100
0|2021-11-09|1989.0|0|1989.0|0|24.0|0|0.0|100
0|2021-11-10|1989.0|0|1989.0|0|24.0|0|0.0|100
0|2021-11-11|1989.0|0|1989.0|0|24.0|0|0.0|100
0|2021-11-12|1995.0|0|1995.0|0|25.0|0|0.0|100
0|2021-11-13|1995.0|0|1995.0|0|25.0|0|0.0|100
0|2021-11-14|1995.0|0|1995.0|0|25.0|0|0.0|100
0|2021-11-15|1994.0|0|1994.0|0|25.0|0|0.0|100
0|2021-11-16|1994.0|0|1994.0|0|27.0|0|0.0|100
0|2021-11-17|1997.0|0|1997.0|0|27.0|0|0.0|100
0|2021-11-18|1999.0|0|1999.0|0|28.0|0|0.0|100
0|2021-11-19|2001.0|0|2001.0|0|28.0|0|0.0|100
0|2021-11-20|2001.0|0|2001.0|0|28.0|0|0.0|100
0|2021-11-21|2001.0|0|2001.0|0|28.0|0|0.0|100
0|2021-11-22|2009.0|0|2009.0|0|28.0|0|0.0|100
0|2021-11-23|2020.0|0|2020.0|0|28.0|0|0.0|100
0|2021-11-24|2027.0|0|2027.0|0|28.0|0|0.0|100
0|2021-11-25|2027.0|0|2027.0|0|28.0|0|0.0|100
0|2021-11-26|2027.0|0|2027.0|0|28.0|0|0.0|100
0|2021-11-27|2027.0|0|2027.0|0|28.0|0|0.0|100
0|2021-11-28|2027.0|0|2027.0|0|28.0|0|0.0|100
0|2021-11-29|2053.0|0|2053.0|0|28.0|0|0.0|100
0|2021-11-30|2071.0|0|2071.0|0|28.0|0|0.0|100
0|2021-12-01|2089.0|0|2089.0|0|28.0|0|0.0|100
0|2021-12-02|2098.0|0|2098.0|0|28.0|0|0.0|100
0|2021-12-03|2098.0|0|2114.0|0|28.0|0|0.0|100
0|2021-12-04|2114.0|0|2114.0|0|28.0|0|0.0|100
0|2021-12-05|2114.0|0|2114.0|0|28.0|0|0.0|100
0|2021-12-06|2139.0|0|2139.0|0|28.0|0|0.0|100
0|2021-12-07|2157.0|0|2157.0|0|28.0|0|0.0|100
0|2021-12-08|2167.0|0|2167.0|0|28.0|0|0.0|100
0|2021-12-09|2174.0|0|2174.0|0|28.0|0|0.0|100
0|2021-12-10|2179.0|0|2179.0|0|28.0|0|0.0|100
0|2021-12-11|2179.0|0|2179.0|0|28.0|0|0.0|100
0|2021-12-12|2179.0|0|2179.0|0|28.0|0|0.0|100
0|2021-12-13|2189.0|0|2189.0|0|28.0|0|0.0|100
0|2021-12-14|2189.0|0|2196.0|0|28.0|0|0.0|100
0|2021-12-15|2205.0|0|2205.0|0|28.0|0|0.0|100
0|2021-12-16|2215.0|0|2215.0|0|28.0|0|0.0|100
0|2021-12-17|2222.0|0|2222.0|0|28.0|0|0.0|100
0|2021-12-18|2222.0|0|2222.0|0|28.0|0|0.0|100
0|2021-12-19|2222.0|0|2222.0|0|28.0|0|0.0|100
0|2021-12-20|2234.0|0|2234.0|0|28.0|0|0.0|100
0|2021-12-21|2236.0|0|2236.0|0|28.0|0|0.0|100
0|2021-12-22|2240.0|0|2240.0|0|28.0|0|0.0|100
0|2021-12-23|2240.0|0|2240.0|0|28.0|0|0.0|100
0|2021-12-24|2240.0|0|2240.0|0|28.0|0|0.0|100
0|2021-12-25|2240.0|0|2240.0|0|28.0|0|0.0|100
0|2021-12-26|2240.0|0|2240.0|0|28.0|0|0.0|100
0|2021-12-27|2240.0|0|2240.0|0|28.0|0|0.0|100
0|2021-12-28|2258.0|0|2258.0|0|29.0|0|0.0|100
0|2021-12-29|2276.0|0|2276.0|0|29.0|0|0.0|100
0|2021-12-30|2289.0|0|2289.0|0|29.0|0|0.0|100
0|2021-12-31|2289.0|0|2298.0|0|29.0|0|0.0|100
0|2022-01-01|2289.0|0|2298.0|0|29.0|0|0.0|100
0|2022-01-02|2289.0|0|2298.0|0|29.0|0|0.0|100
0|2022-01-03|2314.0|0|2314.0|0|29.0|0|0.0|100
0|2022-01-04|2341.0|0|2341.0|0|29.0|0|0.0|100
0|2022-01-05|2386.0|0|2386.0|0|30.0|0|0.0|100
0|2022-01-06|2421.0|0|2421.0|0|30.0|0|0.0|100
0|2022-01-07|2440.0|0|2440.0|0|31.0|0|0.0|100
0|2022-01-08|2440.0|0|2440.0|0|31.0|0|0.0|100
0|2022-01-09|2440.0|0|2440.0|0|31.0|0|0.0|100
