|dates|Montmorency_Michigan_UnitedStates.JHU_ConfirmedCases.data|Montmorency_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Montmorency_Michigan_UnitedStates.NYT_ConfirmedCases.data|Montmorency_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Montmorency_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Montmorency_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Montmorency_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Montmorency_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|862.0|0|862.0|0|25.0|0|0.0|100
0|2021-10-18|875.0|0|875.0|0|25.0|0|0.0|100
0|2021-10-19|875.0|0|875.0|0|25.0|0|0.0|100
0|2021-10-20|888.0|0|888.0|0|26.0|0|0.0|100
0|2021-10-21|888.0|0|888.0|0|26.0|0|0.0|100
0|2021-10-22|916.0|0|916.0|0|26.0|0|0.0|100
0|2021-10-23|916.0|0|916.0|0|26.0|0|0.0|100
0|2021-10-24|916.0|0|916.0|0|26.0|0|0.0|100
0|2021-10-25|928.0|0|928.0|0|26.0|0|0.0|100
0|2021-10-26|928.0|0|928.0|0|26.0|0|0.0|100
0|2021-10-27|953.0|0|953.0|0|26.0|0|0.0|100
0|2021-10-28|953.0|0|953.0|0|26.0|0|0.0|100
0|2021-10-29|971.0|0|971.0|0|26.0|0|0.0|100
0|2021-10-30|971.0|0|971.0|0|26.0|0|0.0|100
0|2021-10-31|971.0|0|971.0|0|26.0|0|0.0|100
0|2021-11-01|988.0|0|988.0|0|26.0|0|0.0|100
0|2021-11-02|988.0|0|988.0|0|26.0|0|0.0|100
0|2021-11-03|1011.0|0|1011.0|0|28.0|0|0.0|100
0|2021-11-04|1011.0|0|1011.0|0|28.0|0|0.0|100
0|2021-11-05|1040.0|0|1040.0|0|29.0|0|0.0|100
0|2021-11-06|1040.0|0|1040.0|0|29.0|0|0.0|100
0|2021-11-07|1040.0|0|1040.0|0|29.0|0|0.0|100
0|2021-11-08|1059.0|0|1059.0|0|29.0|0|0.0|100
0|2021-11-09|1059.0|0|1059.0|0|29.0|0|0.0|100
0|2021-11-10|1091.0|0|1091.0|0|31.0|0|0.0|100
0|2021-11-11|1091.0|0|1091.0|0|31.0|0|0.0|100
0|2021-11-12|1123.0|0|1123.0|0|32.0|0|0.0|100
0|2021-11-13|1123.0|0|1123.0|0|32.0|0|0.0|100
0|2021-11-14|1123.0|0|1123.0|0|32.0|0|0.0|100
0|2021-11-15|1150.0|0|1150.0|0|32.0|0|0.0|100
0|2021-11-16|1150.0|0|1150.0|0|32.0|0|0.0|100
0|2021-11-17|1174.0|0|1174.0|0|33.0|0|0.0|100
0|2021-11-18|1174.0|0|1174.0|0|33.0|0|0.0|100
0|2021-11-19|1192.0|0|1192.0|0|33.0|0|0.0|100
0|2021-11-20|1192.0|0|1192.0|0|33.0|0|0.0|100
0|2021-11-21|1192.0|0|1192.0|0|33.0|0|0.0|100
0|2021-11-22|1211.0|0|1211.0|0|33.0|0|0.0|100
0|2021-11-23|1211.0|0|1211.0|0|33.0|0|0.0|100
0|2021-11-24|1218.0|0|1218.0|0|35.0|0|0.0|100
