|dates|Sherman_Kansas_UnitedStates.JHU_ConfirmedCases.data|Sherman_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Sherman_Kansas_UnitedStates.NYT_ConfirmedCases.data|Sherman_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Sherman_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Sherman_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Sherman_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Sherman_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|771.0|0|771.0|0|13.0|0|0.0|100
0|2021-10-18|776.0|0|776.0|0|13.0|0|0.0|100
0|2021-10-19|776.0|0|776.0|0|13.0|0|0.0|100
0|2021-10-20|782.0|0|782.0|0|13.0|0|0.0|100
0|2021-10-21|782.0|0|782.0|0|13.0|0|0.0|100
0|2021-10-22|787.0|0|787.0|0|13.0|0|0.0|100
0|2021-10-23|787.0|0|787.0|0|13.0|0|0.0|100
0|2021-10-24|787.0|0|787.0|0|13.0|0|0.0|100
0|2021-10-25|793.0|0|793.0|0|13.0|0|0.0|100
0|2021-10-26|793.0|0|793.0|0|13.0|0|0.0|100
0|2021-10-27|814.0|0|814.0|0|13.0|0|0.0|100
0|2021-10-28|814.0|0|814.0|0|13.0|0|0.0|100
0|2021-10-29|828.0|0|828.0|0|13.0|0|0.0|100
0|2021-10-30|828.0|0|828.0|0|13.0|0|0.0|100
0|2021-10-31|828.0|0|828.0|0|13.0|0|0.0|100
0|2021-11-01|844.0|0|844.0|0|13.0|0|0.0|100
0|2021-11-02|844.0|0|844.0|0|13.0|0|0.0|100
0|2021-11-03|872.0|0|872.0|0|13.0|0|0.0|100
0|2021-11-04|872.0|0|872.0|0|13.0|0|0.0|100
0|2021-11-05|890.0|0|890.0|0|13.0|0|0.0|100
0|2021-11-06|890.0|0|890.0|0|13.0|0|0.0|100
0|2021-11-07|890.0|0|890.0|0|13.0|0|0.0|100
0|2021-11-08|905.0|0|905.0|0|13.0|0|0.0|100
0|2021-11-09|905.0|0|905.0|0|13.0|0|0.0|100
0|2021-11-10|946.0|0|946.0|0|13.0|0|0.0|100
0|2021-11-11|946.0|0|946.0|0|13.0|0|0.0|100
0|2021-11-12|973.0|0|973.0|0|13.0|0|0.0|100
0|2021-11-13|973.0|0|973.0|0|13.0|0|0.0|100
0|2021-11-14|973.0|0|973.0|0|13.0|0|0.0|100
0|2021-11-15|981.0|0|981.0|0|13.0|0|0.0|100
0|2021-11-16|981.0|0|981.0|0|13.0|0|0.0|100
0|2021-11-17|1012.0|0|1012.0|0|13.0|0|0.0|100
0|2021-11-18|1012.0|0|1012.0|0|13.0|0|0.0|100
0|2021-11-19|1021.0|0|1021.0|0|13.0|0|0.0|100
0|2021-11-20|1021.0|0|1021.0|0|13.0|0|0.0|100
0|2021-11-21|1021.0|0|1021.0|0|13.0|0|0.0|100
0|2021-11-22|1039.0|0|1039.0|0|13.0|0|0.0|100
0|2021-11-23|1039.0|0|1039.0|0|13.0|0|0.0|100
0|2021-11-24|1039.0|0|1055.0|0|13.0|0|0.0|100
0|2021-11-25|1055.0|0|1055.0|0|13.0|0|0.0|100
0|2021-11-26|1055.0|0|1055.0|0|13.0|0|0.0|100
0|2021-11-27|1055.0|0|1055.0|0|13.0|0|0.0|100
0|2021-11-28|1055.0|0|1055.0|0|13.0|0|0.0|100
0|2021-11-29|1079.0|0|1079.0|0|13.0|0|0.0|100
0|2021-11-30|1079.0|0|1079.0|0|13.0|0|0.0|100
0|2021-12-01|1095.0|0|1095.0|0|13.0|0|0.0|100
0|2021-12-02|1095.0|0|1095.0|0|13.0|0|0.0|100
0|2021-12-03|1095.0|0|1109.0|0|13.0|0|0.0|100
0|2021-12-04|1109.0|0|1109.0|0|13.0|0|0.0|100
