|dates|Sullivan_Indiana_UnitedStates.JHU_ConfirmedCases.data|Sullivan_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Sullivan_Indiana_UnitedStates.NYT_ConfirmedCases.data|Sullivan_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Sullivan_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Sullivan_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Sullivan_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Sullivan_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3266.0|0|3272.0|0|52.0|0|0.0|100
0|2021-10-18|3267.0|0|3273.0|0|52.0|0|0.0|100
0|2021-10-19|3274.0|0|3281.0|0|52.0|0|0.0|100
0|2021-10-20|3278.0|0|3285.0|0|52.0|0|0.0|100
0|2021-10-21|3286.0|0|3293.0|0|52.0|0|0.0|100
0|2021-10-22|3294.0|0|3301.0|0|52.0|0|0.0|100
0|2021-10-23|3294.0|0|3301.0|0|52.0|0|0.0|100
0|2021-10-24|3294.0|0|3301.0|0|52.0|0|0.0|100
0|2021-10-25|3308.0|0|3315.0|0|52.0|0|0.0|100
0|2021-10-26|3312.0|0|3319.0|0|52.0|0|0.0|100
0|2021-10-27|3316.0|0|3323.0|0|52.0|0|0.0|100
0|2021-10-28|3319.0|0|3326.0|0|52.0|0|0.0|100
0|2021-10-29|3322.0|0|3329.0|0|52.0|0|0.0|100
0|2021-10-30|3322.0|0|3329.0|0|52.0|0|0.0|100
0|2021-10-31|3322.0|0|3329.0|0|52.0|0|0.0|100
0|2021-11-01|3327.0|0|3334.0|0|52.0|0|0.0|100
0|2021-11-02|3330.0|0|3337.0|0|52.0|0|0.0|100
0|2021-11-03|3334.0|0|3341.0|0|52.0|0|0.0|100
0|2021-11-04|3340.0|0|3347.0|0|52.0|0|0.0|100
0|2021-11-05|3343.0|0|3350.0|0|53.0|0|0.0|100
0|2021-11-06|3343.0|0|3350.0|0|53.0|0|0.0|100
0|2021-11-07|3343.0|0|3350.0|0|53.0|0|0.0|100
0|2021-11-08|3352.0|0|3359.0|0|53.0|0|0.0|100
0|2021-11-09|3354.0|0|3361.0|0|53.0|0|0.0|100
0|2021-11-10|3354.0|0|3362.0|0|53.0|0|0.0|100
0|2021-11-11|3373.0|0|3380.0|0|53.0|0|0.0|100
0|2021-11-12|3381.0|0|3388.0|0|53.0|0|0.0|100
0|2021-11-13|3381.0|0|3388.0|0|53.0|0|0.0|100
0|2021-11-14|3381.0|0|3388.0|0|53.0|0|0.0|100
0|2021-11-15|3384.0|0|3391.0|0|53.0|0|0.0|100
0|2021-11-16|3389.0|0|3396.0|0|53.0|0|0.0|100
