|dates|Kewaunee_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kewaunee_Wisconsin_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kewaunee_Wisconsin_UnitedStates.Male_Total_Population.data|Kewaunee_Wisconsin_UnitedStates.Male_Total_Population.missing|Kewaunee_Wisconsin_UnitedStates.Female_Total_Population.data|Kewaunee_Wisconsin_UnitedStates.Female_Total_Population.missing|Kewaunee_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.data|Kewaunee_Wisconsin_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-18|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-19|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-20|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-21|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-22|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-23|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-24|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-25|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-26|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-27|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-28|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-29|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-30|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-10-31|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-01|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-02|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-03|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-04|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-05|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-06|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-07|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-08|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-09|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-10|4168.0|0|10334.0|0|10049.0|0|4385.0|0
0|2021-11-11|4168.0|0|10334.0|0|10049.0|0|4385.0|0
