|dates|Sarpy_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Sarpy_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Sarpy_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Sarpy_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Sarpy_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Sarpy_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Sarpy_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Sarpy_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|27744.0|0|27744.0|0|131.0|0|0.0|100
0|2021-10-18|27833.0|0|27833.0|0|131.0|0|0.0|100
0|2021-10-19|27891.0|0|27891.0|0|131.0|0|0.0|100
0|2021-10-20|27953.0|0|27953.0|0|131.0|0|0.0|100
0|2021-10-21|28035.0|0|28035.0|0|131.0|0|0.0|100
0|2021-10-22|28035.0|0|28035.0|0|131.0|0|0.0|100
0|2021-10-23|28035.0|0|28035.0|0|131.0|0|0.0|100
0|2021-10-24|28035.0|0|28035.0|0|131.0|0|0.0|100
0|2021-10-25|28035.0|0|28035.0|0|131.0|0|0.0|100
0|2021-10-26|28035.0|0|28035.0|0|131.0|0|0.0|100
0|2021-10-27|28279.0|0|28279.0|0|131.0|0|0.0|100
0|2021-10-28|28279.0|0|28279.0|0|131.0|0|0.0|100
0|2021-10-29|28279.0|0|28349.0|0|131.0|0|0.0|100
0|2021-10-30|28279.0|0|28349.0|0|131.0|0|0.0|100
0|2021-10-31|28279.0|0|28420.0|0|131.0|0|0.0|100
0|2021-11-01|28279.0|0|28565.0|0|131.0|0|0.0|100
0|2021-11-02|28279.0|0|28565.0|0|131.0|0|0.0|100
0|2021-11-03|28745.0|0|28745.0|0|131.0|0|0.0|100
0|2021-11-04|28745.0|0|28745.0|0|131.0|0|0.0|100
0|2021-11-05|28745.0|0|28745.0|0|131.0|0|0.0|100
0|2021-11-06|28745.0|0|28745.0|0|131.0|0|0.0|100
0|2021-11-07|28745.0|0|28745.0|0|131.0|0|0.0|100
0|2021-11-08|29053.0|0|29053.0|0|131.0|0|0.0|100
0|2021-11-09|29151.0|0|29151.0|0|131.0|0|0.0|100
0|2021-11-10|29231.0|0|29231.0|0|131.0|0|0.0|100
0|2021-11-11|29330.0|0|29330.0|0|131.0|0|0.0|100
0|2021-11-12|29430.0|0|29430.0|0|131.0|0|0.0|100
0|2021-11-13|29430.0|0|29430.0|0|131.0|0|0.0|100
0|2021-11-14|29430.0|0|29430.0|0|131.0|0|0.0|100
