|dates|Clark_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Clark_Idaho_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Clark_Idaho_UnitedStates.Male_Total_Population.data|Clark_Idaho_UnitedStates.Male_Total_Population.missing|Clark_Idaho_UnitedStates.Female_Total_Population.data|Clark_Idaho_UnitedStates.Female_Total_Population.missing|Clark_Idaho_UnitedStates.MaleAndFemale_Under18_Population.data|Clark_Idaho_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-18|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-19|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-20|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-21|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-22|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-23|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-24|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-25|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-26|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-27|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-28|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-29|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-30|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-10-31|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-01|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-02|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-03|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-04|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-05|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-06|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-07|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-08|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-09|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-10|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-11|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-12|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-13|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-14|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-15|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-16|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-17|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-18|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-19|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-20|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-21|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-22|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-23|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-24|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-25|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-26|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-27|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-28|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-29|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-11-30|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-01|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-02|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-03|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-04|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-05|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-06|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-07|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-08|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-09|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-10|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-11|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-12|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-13|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-14|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-15|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-16|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-17|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-18|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-19|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-20|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-21|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-22|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-23|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-24|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-25|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-26|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-27|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-28|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-29|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-30|151.0|0|432.0|0|420.0|0|198.0|0
0|2021-12-31|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-01|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-02|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-03|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-04|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-05|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-06|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-07|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-08|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-09|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-10|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-11|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-12|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-13|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-14|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-15|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-16|151.0|0|432.0|0|420.0|0|198.0|0
0|2022-01-17|151.0|0|432.0|0|420.0|0|198.0|0
