|dates|St.Clair_Alabama_UnitedStates.JHU_ConfirmedCases.data|St.Clair_Alabama_UnitedStates.JHU_ConfirmedCases.missing|St.Clair_Alabama_UnitedStates.NYT_ConfirmedCases.data|St.Clair_Alabama_UnitedStates.NYT_ConfirmedCases.missing|St.Clair_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|St.Clair_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|St.Clair_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|St.Clair_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15921.0|0|15921.0|0|337.0|0|0.0|100
0|2021-10-18|15924.0|0|15924.0|0|337.0|0|0.0|100
0|2021-10-19|15953.0|0|15953.0|0|339.0|0|0.0|100
0|2021-10-20|15967.0|0|15967.0|0|339.0|0|0.0|100
0|2021-10-21|15983.0|0|15983.0|0|339.0|0|0.0|100
0|2021-10-22|16034.0|0|16034.0|0|339.0|0|0.0|100
0|2021-10-23|16054.0|0|16054.0|0|339.0|0|0.0|100
0|2021-10-24|16064.0|0|16064.0|0|339.0|0|0.0|100
0|2021-10-25|16078.0|0|16078.0|0|339.0|0|0.0|100
0|2021-10-26|16091.0|0|16091.0|0|339.0|0|0.0|100
0|2021-10-27|16601.0|0|16601.0|0|339.0|0|0.0|100
0|2021-10-28|16642.0|0|16642.0|0|339.0|0|0.0|100
0|2021-10-29|16650.0|0|16650.0|0|340.0|0|0.0|100
0|2021-10-30|16659.0|0|16659.0|0|344.0|0|0.0|100
0|2021-10-31|16669.0|0|16669.0|0|344.0|0|0.0|100
0|2021-11-01|16670.0|0|16670.0|0|344.0|0|0.0|100
0|2021-11-02|16683.0|0|16683.0|0|348.0|0|0.0|100
0|2021-11-03|16691.0|0|16691.0|0|348.0|0|0.0|100
0|2021-11-04|16711.0|0|16711.0|0|348.0|0|0.0|100
0|2021-11-05|16731.0|0|16731.0|0|349.0|0|0.0|100
0|2021-11-06|16736.0|0|16736.0|0|349.0|0|0.0|100
0|2021-11-07|16746.0|0|16746.0|0|349.0|0|0.0|100
0|2021-11-08|16752.0|0|16752.0|0|349.0|0|0.0|100
0|2021-11-09|16780.0|0|16780.0|0|349.0|0|0.0|100
0|2021-11-10|16782.0|0|16782.0|0|350.0|0|0.0|100
0|2021-11-11|16744.0|0|16744.0|0|350.0|0|0.0|100
0|2021-11-12|16752.0|0|16752.0|0|350.0|0|0.0|100
0|2021-11-13|16763.0|0|16763.0|0|353.0|0|0.0|100
0|2021-11-14|16772.0|0|16772.0|0|353.0|0|0.0|100
0|2021-11-15|16779.0|0|16779.0|0|353.0|0|0.0|100
0|2021-11-16|16795.0|0|16795.0|0|354.0|0|0.0|100
0|2021-11-17|16807.0|0|16807.0|0|354.0|0|0.0|100
0|2021-11-18|16819.0|0|16819.0|0|354.0|0|0.0|100
0|2021-11-19|16832.0|0|16832.0|0|355.0|0|0.0|100
0|2021-11-20|16820.0|0|16820.0|0|355.0|0|0.0|100
0|2021-11-21|16826.0|0|16826.0|0|355.0|0|0.0|100
0|2021-11-22|16832.0|0|16832.0|0|355.0|0|0.0|100
0|2021-11-23|16851.0|0|16851.0|0|357.0|0|0.0|100
0|2021-11-24|16854.0|0|16854.0|0|358.0|0|0.0|100
0|2021-11-25|16863.0|0|16863.0|0|358.0|0|0.0|100
0|2021-11-26|16863.0|0|16863.0|0|358.0|0|0.0|100
0|2021-11-27|16875.0|0|16875.0|0|358.0|0|0.0|100
0|2021-11-28|16875.0|0|16880.0|0|358.0|0|0.0|100
0|2021-11-29|16884.0|0|16884.0|0|358.0|0|0.0|100
0|2021-11-30|16904.0|0|16904.0|0|358.0|0|0.0|100
0|2021-12-01|16918.0|0|16918.0|0|358.0|0|0.0|100
0|2021-12-02|16928.0|0|16928.0|0|358.0|0|0.0|100
0|2021-12-03|16946.0|0|16946.0|0|359.0|0|0.0|100
0|2021-12-04|16958.0|0|16958.0|0|359.0|0|0.0|100
0|2021-12-05|16963.0|0|16963.0|0|359.0|0|0.0|100
0|2021-12-06|16968.0|0|16968.0|0|359.0|0|0.0|100
0|2021-12-07|16987.0|0|16987.0|0|359.0|0|0.0|100
0|2021-12-08|16995.0|0|16995.0|0|359.0|0|0.0|100
0|2021-12-09|17017.0|0|17017.0|0|359.0|0|0.0|100
0|2021-12-10|17027.0|0|17027.0|0|360.0|0|0.0|100
0|2021-12-11|17046.0|0|17046.0|0|361.0|0|0.0|100
0|2021-12-12|17054.0|0|17054.0|0|361.0|0|0.0|100
0|2021-12-13|17064.0|0|17064.0|0|361.0|0|0.0|100
0|2021-12-14|17064.0|0|17105.0|0|361.0|0|0.0|100
0|2021-12-15|17129.0|0|17129.0|0|363.0|0|0.0|100
0|2021-12-16|17148.0|0|17148.0|0|364.0|0|0.0|100
0|2021-12-17|17177.0|0|17177.0|0|364.0|0|0.0|100
0|2021-12-18|17193.0|0|17193.0|0|364.0|0|0.0|100
0|2021-12-19|17202.0|0|17202.0|0|364.0|0|0.0|100
0|2021-12-20|17211.0|0|17211.0|0|364.0|0|0.0|100
0|2021-12-21|17232.0|0|17232.0|0|364.0|0|0.0|100
0|2021-12-22|17258.0|0|17258.0|0|365.0|0|0.0|100
0|2021-12-23|17289.0|0|17289.0|0|365.0|0|0.0|100
0|2021-12-24|17338.0|0|17338.0|0|365.0|0|0.0|100
0|2021-12-25|17392.0|0|17392.0|0|365.0|0|0.0|100
0|2021-12-26|17401.0|0|17401.0|0|365.0|0|0.0|100
0|2021-12-27|17433.0|0|17433.0|0|365.0|0|0.0|100
0|2021-12-28|17517.0|0|17517.0|0|365.0|0|0.0|100
0|2021-12-29|17608.0|0|17608.0|0|365.0|0|0.0|100
0|2021-12-30|17766.0|0|17766.0|0|365.0|0|0.0|100
0|2021-12-31|17891.0|0|17891.0|0|365.0|0|0.0|100
0|2022-01-01|17891.0|0|17891.0|0|365.0|0|0.0|100
0|2022-01-02|18043.0|0|18043.0|0|365.0|0|0.0|100
0|2022-01-03|18107.0|0|18107.0|0|365.0|0|0.0|100
0|2022-01-04|18327.0|0|18327.0|0|366.0|0|0.0|100
0|2022-01-05|18540.0|0|18540.0|0|367.0|0|0.0|100
0|2022-01-06|18805.0|0|18805.0|0|367.0|0|0.0|100
0|2022-01-07|19012.0|0|19012.0|0|367.0|0|0.0|100
0|2022-01-08|19184.0|0|19184.0|0|367.0|0|0.0|100
0|2022-01-09|19419.0|0|19419.0|0|367.0|0|0.0|100
0|2022-01-10|19537.0|0|19537.0|0|367.0|0|0.0|100
0|2022-01-11|19792.0|0|19792.0|0|367.0|0|0.0|100
0|2022-01-12|20037.0|0|20037.0|0|367.0|0|0.0|100
0|2022-01-13|20037.0|0|20037.0|0|367.0|0|0.0|100
0|2022-01-14|20037.0|0|20037.0|0|367.0|0|0.0|100
0|2022-01-15|20037.0|0|20037.0|0|367.0|0|0.0|100
0|2022-01-16|21115.0|0|21115.0|0|370.0|0|0.0|100
0|2022-01-17|21245.0|0|0.0|100|370.0|0|0.0|100
