|dates|Union_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Union_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Union_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Union_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Union_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Union_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Union_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Union_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5709.0|0|5709.0|0|135.0|0|0.0|100
0|2021-10-18|5713.0|0|5713.0|0|135.0|0|0.0|100
0|2021-10-19|5726.0|0|5726.0|0|136.0|0|0.0|100
0|2021-10-20|5738.0|0|5738.0|0|137.0|0|0.0|100
0|2021-10-21|5743.0|0|5743.0|0|137.0|0|0.0|100
0|2021-10-22|5749.0|0|5749.0|0|137.0|0|0.0|100
0|2021-10-23|5751.0|0|5751.0|0|137.0|0|0.0|100
0|2021-10-24|5752.0|0|5752.0|0|137.0|0|0.0|100
0|2021-10-25|5754.0|0|5754.0|0|137.0|0|0.0|100
0|2021-10-26|5763.0|0|5763.0|0|138.0|0|0.0|100
0|2021-10-27|5775.0|0|5775.0|0|138.0|0|0.0|100
0|2021-10-28|5785.0|0|5785.0|0|138.0|0|0.0|100
0|2021-10-29|5790.0|0|5790.0|0|138.0|0|0.0|100
0|2021-10-30|5796.0|0|5796.0|0|138.0|0|0.0|100
0|2021-10-31|5797.0|0|5797.0|0|138.0|0|0.0|100
0|2021-11-01|5798.0|0|5798.0|0|138.0|0|0.0|100
0|2021-11-02|5808.0|0|5808.0|0|139.0|0|0.0|100
0|2021-11-03|5819.0|0|5819.0|0|140.0|0|0.0|100
0|2021-11-04|5823.0|0|5823.0|0|140.0|0|0.0|100
0|2021-11-05|5829.0|0|5829.0|0|140.0|0|0.0|100
0|2021-11-06|5829.0|0|5829.0|0|140.0|0|0.0|100
0|2021-11-07|5833.0|0|5833.0|0|141.0|0|0.0|100
0|2021-11-08|5833.0|0|5833.0|0|141.0|0|0.0|100
0|2021-11-09|5839.0|0|5839.0|0|141.0|0|0.0|100
0|2021-11-10|5839.0|0|5843.0|0|141.0|0|0.0|100
0|2021-11-11|5850.0|0|5850.0|0|141.0|0|0.0|100
0|2021-11-12|5856.0|0|5856.0|0|141.0|0|0.0|100
0|2021-11-13|5858.0|0|5858.0|0|141.0|0|0.0|100
0|2021-11-14|5861.0|0|5861.0|0|141.0|0|0.0|100
0|2021-11-15|5864.0|0|5864.0|0|141.0|0|0.0|100
0|2021-11-16|5869.0|0|5869.0|0|141.0|0|0.0|100
0|2021-11-17|5878.0|0|5878.0|0|141.0|0|0.0|100
0|2021-11-18|5890.0|0|5890.0|0|141.0|0|0.0|100
0|2021-11-19|5902.0|0|5902.0|0|141.0|0|0.0|100
0|2021-11-20|5910.0|0|5910.0|0|141.0|0|0.0|100
0|2021-11-21|5911.0|0|5911.0|0|141.0|0|0.0|100
0|2021-11-22|5915.0|0|5915.0|0|142.0|0|0.0|100
0|2021-11-23|5925.0|0|5925.0|0|142.0|0|0.0|100
0|2021-11-24|5930.0|0|5930.0|0|142.0|0|0.0|100
0|2021-11-25|5938.0|0|5938.0|0|144.0|0|0.0|100
0|2021-11-26|5939.0|0|5939.0|0|144.0|0|0.0|100
0|2021-11-27|5944.0|0|5944.0|0|144.0|0|0.0|100
0|2021-11-28|5953.0|0|5953.0|0|144.0|0|0.0|100
0|2021-11-29|5954.0|0|5954.0|0|143.0|0|0.0|100
