|dates|Miami_Ohio_UnitedStates.JHU_ConfirmedCases.data|Miami_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Miami_Ohio_UnitedStates.NYT_ConfirmedCases.data|Miami_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Miami_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Miami_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Miami_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Miami_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|15335.0|0|15335.0|0|314.0|0|0.0|100
0|2021-10-18|15355.0|0|15355.0|0|317.0|0|0.0|100
0|2021-10-19|15396.0|0|15396.0|0|320.0|0|0.0|100
0|2021-10-20|15459.0|0|15459.0|0|322.0|0|0.0|100
0|2021-10-21|15487.0|0|15487.0|0|322.0|0|0.0|100
0|2021-10-22|15524.0|0|15524.0|0|322.0|0|0.0|100
0|2021-10-23|15582.0|0|15582.0|0|323.0|0|0.0|100
0|2021-10-24|15601.0|0|15601.0|0|325.0|0|0.0|100
0|2021-10-25|15627.0|0|15627.0|0|325.0|0|0.0|100
0|2021-10-26|15676.0|0|15676.0|0|328.0|0|0.0|100
0|2021-10-27|15717.0|0|15717.0|0|328.0|0|0.0|100
0|2021-10-28|15779.0|0|15779.0|0|328.0|0|0.0|100
0|2021-10-29|15814.0|0|15814.0|0|329.0|0|0.0|100
0|2021-10-30|15848.0|0|15848.0|0|329.0|0|0.0|100
0|2021-10-31|15887.0|0|15887.0|0|329.0|0|0.0|100
0|2021-11-01|15910.0|0|15910.0|0|329.0|0|0.0|100
0|2021-11-02|15947.0|0|15947.0|0|329.0|0|0.0|100
0|2021-11-03|15990.0|0|15990.0|0|329.0|0|0.0|100
0|2021-11-04|16061.0|0|16061.0|0|329.0|0|0.0|100
0|2021-11-05|16096.0|0|16096.0|0|329.0|0|0.0|100
0|2021-11-06|16122.0|0|16122.0|0|329.0|0|0.0|100
0|2021-11-07|16155.0|0|16155.0|0|329.0|0|0.0|100
0|2021-11-08|16178.0|0|16178.0|0|329.0|0|0.0|100
0|2021-11-09|16228.0|0|16228.0|0|332.0|0|0.0|100
0|2021-11-10|16228.0|0|16274.0|0|332.0|0|0.0|100
0|2021-11-11|16330.0|0|16330.0|0|332.0|0|0.0|100
0|2021-11-12|16387.0|0|16387.0|0|340.0|0|0.0|100
0|2021-11-13|16418.0|0|16418.0|0|340.0|0|0.0|100
