|dates|Burleson_Texas_UnitedStates.JHU_ConfirmedCases.data|Burleson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Burleson_Texas_UnitedStates.NYT_ConfirmedCases.data|Burleson_Texas_UnitedStates.NYT_ConfirmedCases.missing|Burleson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Burleson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Burleson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Burleson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3241.0|0|3241.0|0|59.0|0|0.0|100
0|2021-10-18|3244.0|0|3244.0|0|59.0|0|0.0|100
0|2021-10-19|3246.0|0|3246.0|0|59.0|0|0.0|100
0|2021-10-20|3252.0|0|3252.0|0|59.0|0|0.0|100
0|2021-10-21|3257.0|0|3257.0|0|59.0|0|0.0|100
0|2021-10-22|3259.0|0|3259.0|0|59.0|0|0.0|100
0|2021-10-23|3260.0|0|3260.0|0|59.0|0|0.0|100
0|2021-10-24|3260.0|0|3260.0|0|59.0|0|0.0|100
0|2021-10-25|3261.0|0|3261.0|0|59.0|0|0.0|100
0|2021-10-26|3265.0|0|3265.0|0|59.0|0|0.0|100
0|2021-10-27|3266.0|0|3266.0|0|59.0|0|0.0|100
0|2021-10-28|3266.0|0|3266.0|0|59.0|0|0.0|100
0|2021-10-29|3267.0|0|3267.0|0|59.0|0|0.0|100
0|2021-10-30|3269.0|0|3269.0|0|59.0|0|0.0|100
0|2021-10-31|3269.0|0|3269.0|0|59.0|0|0.0|100
0|2021-11-01|3276.0|0|3276.0|0|59.0|0|0.0|100
0|2021-11-02|3277.0|0|3277.0|0|59.0|0|0.0|100
0|2021-11-03|3278.0|0|3278.0|0|59.0|0|0.0|100
0|2021-11-04|3281.0|0|3281.0|0|59.0|0|0.0|100
0|2021-11-05|3281.0|0|3281.0|0|60.0|0|0.0|100
0|2021-11-06|3285.0|0|3285.0|0|60.0|0|0.0|100
0|2021-11-07|3285.0|0|3285.0|0|60.0|0|0.0|100
0|2021-11-08|3290.0|0|3290.0|0|60.0|0|0.0|100
0|2021-11-09|3291.0|0|3291.0|0|60.0|0|0.0|100
0|2021-11-10|3291.0|0|3291.0|0|60.0|0|0.0|100
0|2021-11-11|3294.0|0|3294.0|0|60.0|0|0.0|100
0|2021-11-12|3294.0|0|3294.0|0|60.0|0|0.0|100
0|2021-11-13|3294.0|0|3294.0|0|60.0|0|0.0|100
0|2021-11-14|3294.0|0|3294.0|0|60.0|0|0.0|100
0|2021-11-15|3294.0|0|3294.0|0|60.0|0|0.0|100
0|2021-11-16|3299.0|0|3299.0|0|60.0|0|0.0|100
0|2021-11-17|3299.0|0|3299.0|0|60.0|0|0.0|100
0|2021-11-18|3301.0|0|3301.0|0|60.0|0|0.0|100
0|2021-11-19|3301.0|0|3301.0|0|60.0|0|0.0|100
0|2021-11-20|3304.0|0|3304.0|0|60.0|0|0.0|100
0|2021-11-21|3304.0|0|3304.0|0|60.0|0|0.0|100
0|2021-11-22|3307.0|0|3307.0|0|60.0|0|0.0|100
0|2021-11-23|3309.0|0|3309.0|0|60.0|0|0.0|100
0|2021-11-24|3314.0|0|3314.0|0|60.0|0|0.0|100
0|2021-11-25|3314.0|0|3314.0|0|60.0|0|0.0|100
0|2021-11-26|3314.0|0|3314.0|0|60.0|0|0.0|100
0|2021-11-27|3314.0|0|3314.0|0|60.0|0|0.0|100
0|2021-11-28|3314.0|0|3314.0|0|60.0|0|0.0|100
0|2021-11-29|3320.0|0|3320.0|0|60.0|0|0.0|100
0|2021-11-30|3320.0|0|3320.0|0|60.0|0|0.0|100
0|2021-12-01|3321.0|0|3321.0|0|60.0|0|0.0|100
0|2021-12-02|3322.0|0|3322.0|0|60.0|0|0.0|100
0|2021-12-03|3322.0|0|3322.0|0|60.0|0|0.0|100
0|2021-12-04|3322.0|0|3322.0|0|60.0|0|0.0|100
0|2021-12-05|3323.0|0|3323.0|0|60.0|0|0.0|100
0|2021-12-06|3323.0|0|3323.0|0|60.0|0|0.0|100
0|2021-12-07|3324.0|0|3324.0|0|60.0|0|0.0|100
0|2021-12-08|3324.0|0|3324.0|0|60.0|0|0.0|100
0|2021-12-09|3327.0|0|3327.0|0|60.0|0|0.0|100
0|2021-12-10|3334.0|0|3334.0|0|60.0|0|0.0|100
0|2021-12-11|3337.0|0|3337.0|0|60.0|0|0.0|100
0|2021-12-12|3338.0|0|3338.0|0|60.0|0|0.0|100
0|2021-12-13|3338.0|0|3338.0|0|60.0|0|0.0|100
0|2021-12-14|3338.0|0|3338.0|0|60.0|0|0.0|100
0|2021-12-15|3339.0|0|3339.0|0|60.0|0|0.0|100
0|2021-12-16|3344.0|0|3344.0|0|60.0|0|0.0|100
0|2021-12-17|3345.0|0|3345.0|0|60.0|0|0.0|100
0|2021-12-18|3345.0|0|3345.0|0|60.0|0|0.0|100
0|2021-12-19|3346.0|0|3346.0|0|60.0|0|0.0|100
0|2021-12-20|3349.0|0|3349.0|0|60.0|0|0.0|100
0|2021-12-21|3350.0|0|3350.0|0|60.0|0|0.0|100
0|2021-12-22|3353.0|0|3353.0|0|60.0|0|0.0|100
0|2021-12-23|3356.0|0|3356.0|0|60.0|0|0.0|100
0|2021-12-24|3356.0|0|3356.0|0|60.0|0|0.0|100
0|2021-12-25|3356.0|0|3356.0|0|60.0|0|0.0|100
0|2021-12-26|3356.0|0|3356.0|0|60.0|0|0.0|100
0|2021-12-27|3378.0|0|3378.0|0|61.0|0|0.0|100
0|2021-12-28|3379.0|0|3379.0|0|61.0|0|0.0|100
0|2021-12-29|3386.0|0|3386.0|0|61.0|0|0.0|100
0|2021-12-30|3390.0|0|3390.0|0|61.0|0|0.0|100
0|2021-12-31|3390.0|0|3390.0|0|61.0|0|0.0|100
0|2022-01-01|3390.0|0|3390.0|0|61.0|0|0.0|100
0|2022-01-02|3390.0|0|3390.0|0|61.0|0|0.0|100
0|2022-01-03|3471.0|0|3471.0|0|61.0|0|0.0|100
0|2022-01-04|3487.0|0|3487.0|0|61.0|0|0.0|100
0|2022-01-05|3506.0|0|3506.0|0|61.0|0|0.0|100
0|2022-01-06|3538.0|0|3538.0|0|61.0|0|0.0|100
0|2022-01-07|3577.0|0|3577.0|0|61.0|0|0.0|100
0|2022-01-08|3596.0|0|3596.0|0|61.0|0|0.0|100
0|2022-01-09|3633.0|0|3633.0|0|61.0|0|0.0|100
0|2022-01-10|3656.0|0|3656.0|0|61.0|0|0.0|100
0|2022-01-11|3686.0|0|3686.0|0|61.0|0|0.0|100
0|2022-01-12|3722.0|0|3722.0|0|61.0|0|0.0|100
0|2022-01-13|3722.0|0|3760.0|0|61.0|0|0.0|100
0|2022-01-14|3760.0|0|4218.0|0|61.0|0|0.0|100
0|2022-01-15|4268.0|0|4268.0|0|61.0|0|0.0|100
0|2022-01-16|4299.0|0|4299.0|0|61.0|0|0.0|100
0|2022-01-17|4351.0|0|0.0|100|61.0|0|0.0|100
