|dates|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Mecklenburg_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Mecklenburg_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|154718.0|0|154718.0|0|1211.0|0|0.0|100
0|2021-10-18|155299.0|0|155299.0|0|1219.0|0|0.0|100
0|2021-10-19|155457.0|0|155457.0|0|1220.0|0|0.0|100
0|2021-10-20|155663.0|0|155663.0|0|1224.0|0|0.0|100
0|2021-10-21|155881.0|0|155881.0|0|1224.0|0|0.0|100
0|2021-10-22|156024.0|0|156024.0|0|1227.0|0|0.0|100
0|2021-10-23|156024.0|0|156024.0|0|1227.0|0|0.0|100
0|2021-10-24|156024.0|0|156024.0|0|1227.0|0|0.0|100
0|2021-10-25|156529.0|0|156529.0|0|1235.0|0|0.0|100
0|2021-10-26|156694.0|0|156694.0|0|1238.0|0|0.0|100
0|2021-10-27|156828.0|0|156828.0|0|1237.0|0|0.0|100
0|2021-10-28|157039.0|0|157039.0|0|1239.0|0|0.0|100
0|2021-10-29|157260.0|0|157260.0|0|1244.0|0|0.0|100
0|2021-10-30|157260.0|0|157260.0|0|1244.0|0|0.0|100
0|2021-10-31|157260.0|0|157260.0|0|1244.0|0|0.0|100
0|2021-11-01|157711.0|0|157711.0|0|1251.0|0|0.0|100
0|2021-11-02|157865.0|0|157865.0|0|1252.0|0|0.0|100
0|2021-11-03|158018.0|0|158018.0|0|1256.0|0|0.0|100
0|2021-11-04|158157.0|0|158157.0|0|1257.0|0|0.0|100
0|2021-11-05|158324.0|0|158324.0|0|1258.0|0|0.0|100
0|2021-11-06|158324.0|0|158324.0|0|1258.0|0|0.0|100
0|2021-11-07|158324.0|0|158324.0|0|1258.0|0|0.0|100
0|2021-11-08|158689.0|0|158689.0|0|1259.0|0|0.0|100
0|2021-11-09|158871.0|0|158871.0|0|1260.0|0|0.0|100
0|2021-11-10|159077.0|0|159077.0|0|1260.0|0|0.0|100
