|dates|LaPlata_Colorado_UnitedStates.JHU_ConfirmedCases.data|LaPlata_Colorado_UnitedStates.JHU_ConfirmedCases.missing|LaPlata_Colorado_UnitedStates.NYT_ConfirmedCases.data|LaPlata_Colorado_UnitedStates.NYT_ConfirmedCases.missing|LaPlata_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|LaPlata_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|LaPlata_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|LaPlata_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5569.0|0|5569.0|0|53.0|0|0.0|100
0|2021-10-18|5601.0|0|5601.0|0|52.0|0|0.0|100
0|2021-10-19|5624.0|0|5624.0|0|52.0|0|0.0|100
0|2021-10-20|5661.0|0|5661.0|0|52.0|0|0.0|100
0|2021-10-21|5683.0|0|5683.0|0|52.0|0|0.0|100
0|2021-10-22|5696.0|0|5696.0|0|52.0|0|0.0|100
0|2021-10-23|5696.0|0|5696.0|0|52.0|0|0.0|100
0|2021-10-24|5696.0|0|5696.0|0|52.0|0|0.0|100
0|2021-10-25|5792.0|0|5792.0|0|52.0|0|0.0|100
0|2021-10-26|5804.0|0|5804.0|0|52.0|0|0.0|100
0|2021-10-27|5828.0|0|5828.0|0|54.0|0|0.0|100
0|2021-10-28|5878.0|0|5878.0|0|54.0|0|0.0|100
0|2021-10-29|5922.0|0|5922.0|0|54.0|0|0.0|100
0|2021-10-30|5922.0|0|5922.0|0|54.0|0|0.0|100
0|2021-10-31|5922.0|0|5922.0|0|54.0|0|0.0|100
0|2021-11-01|6000.0|0|6000.0|0|54.0|0|0.0|100
0|2021-11-02|6027.0|0|6027.0|0|55.0|0|0.0|100
0|2021-11-03|6071.0|0|6071.0|0|55.0|0|0.0|100
0|2021-11-04|6105.0|0|6105.0|0|55.0|0|0.0|100
0|2021-11-05|6141.0|0|6141.0|0|55.0|0|0.0|100
0|2021-11-06|6141.0|0|6141.0|0|55.0|0|0.0|100
0|2021-11-07|6141.0|0|6141.0|0|55.0|0|0.0|100
0|2021-11-08|6225.0|0|6225.0|0|55.0|0|0.0|100
0|2021-11-09|6252.0|0|6252.0|0|55.0|0|0.0|100
0|2021-11-10|6313.0|0|6313.0|0|55.0|0|0.0|100
0|2021-11-11|6362.0|0|6362.0|0|55.0|0|0.0|100
0|2021-11-12|6436.0|0|6436.0|0|55.0|0|0.0|100
0|2021-11-13|6436.0|0|6436.0|0|55.0|0|0.0|100
0|2021-11-14|6436.0|0|6436.0|0|55.0|0|0.0|100
0|2021-11-15|6536.0|0|6536.0|0|55.0|0|0.0|100
0|2021-11-16|6586.0|0|6586.0|0|57.0|0|0.0|100
0|2021-11-17|6617.0|0|6617.0|0|57.0|0|0.0|100
0|2021-11-18|6652.0|0|6652.0|0|58.0|0|0.0|100
0|2021-11-19|6697.0|0|6697.0|0|58.0|0|0.0|100
0|2021-11-20|6697.0|0|6697.0|0|58.0|0|0.0|100
0|2021-11-21|6697.0|0|6697.0|0|58.0|0|0.0|100
0|2021-11-22|6767.0|0|6767.0|0|58.0|0|0.0|100
0|2021-11-23|6798.0|0|6798.0|0|60.0|0|0.0|100
0|2021-11-24|6842.0|0|6842.0|0|59.0|0|0.0|100
0|2021-11-25|6867.0|0|6867.0|0|59.0|0|0.0|100
0|2021-11-26|6872.0|0|6867.0|0|59.0|0|0.0|100
0|2021-11-27|6872.0|0|6867.0|0|59.0|0|0.0|100
0|2021-11-28|6872.0|0|6872.0|0|59.0|0|0.0|100
0|2021-11-29|6918.0|0|6918.0|0|59.0|0|0.0|100
0|2021-11-30|6934.0|0|6934.0|0|62.0|0|0.0|100
0|2021-12-01|6962.0|0|6962.0|0|62.0|0|0.0|100
0|2021-12-02|6991.0|0|6991.0|0|63.0|0|0.0|100
0|2021-12-03|7021.0|0|7006.0|0|63.0|0|0.0|100
0|2021-12-04|7021.0|0|7021.0|0|63.0|0|0.0|100
0|2021-12-05|7021.0|0|7021.0|0|63.0|0|0.0|100
0|2021-12-06|7068.0|0|7068.0|0|63.0|0|0.0|100
0|2021-12-07|7084.0|0|7084.0|0|63.0|0|0.0|100
0|2021-12-08|7114.0|0|7114.0|0|63.0|0|0.0|100
0|2021-12-09|7140.0|0|7140.0|0|63.0|0|0.0|100
0|2021-12-10|7169.0|0|7169.0|0|64.0|0|0.0|100
0|2021-12-11|7169.0|0|7169.0|0|64.0|0|0.0|100
0|2021-12-12|7169.0|0|7169.0|0|64.0|0|0.0|100
0|2021-12-13|7207.0|0|7207.0|0|64.0|0|0.0|100
0|2021-12-14|7207.0|0|7221.0|0|64.0|0|0.0|100
