|dates|Sterling_Texas_UnitedStates.JHU_ConfirmedCases.data|Sterling_Texas_UnitedStates.JHU_ConfirmedCases.missing|Sterling_Texas_UnitedStates.NYT_ConfirmedCases.data|Sterling_Texas_UnitedStates.NYT_ConfirmedCases.missing|Sterling_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Sterling_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Sterling_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Sterling_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|163.0|0|163.0|0|5.0|0|0.0|100
0|2021-10-18|163.0|0|163.0|0|5.0|0|0.0|100
0|2021-10-19|163.0|0|163.0|0|5.0|0|0.0|100
0|2021-10-20|163.0|0|163.0|0|5.0|0|0.0|100
0|2021-10-21|164.0|0|164.0|0|5.0|0|0.0|100
0|2021-10-22|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-23|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-24|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-25|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-26|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-27|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-28|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-29|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-30|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-10-31|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-01|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-02|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-03|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-04|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-05|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-06|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-07|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-08|165.0|0|165.0|0|5.0|0|0.0|100
0|2021-11-09|169.0|0|169.0|0|5.0|0|0.0|100
