|dates|Jefferson_Indiana_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Indiana_UnitedStates.NYT_ConfirmedCases.data|Jefferson_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Jefferson_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5046.0|0|5049.0|0|95.0|0|0.0|100
0|2021-10-18|5069.0|0|5072.0|0|96.0|0|0.0|100
0|2021-10-19|5075.0|0|5078.0|0|96.0|0|0.0|100
0|2021-10-20|5092.0|0|5095.0|0|97.0|0|0.0|100
0|2021-10-21|5102.0|0|5105.0|0|97.0|0|0.0|100
0|2021-10-22|5112.0|0|5115.0|0|97.0|0|0.0|100
0|2021-10-23|5112.0|0|5115.0|0|97.0|0|0.0|100
0|2021-10-24|5112.0|0|5115.0|0|97.0|0|0.0|100
0|2021-10-25|5132.0|0|5135.0|0|97.0|0|0.0|100
0|2021-10-26|5139.0|0|5142.0|0|97.0|0|0.0|100
0|2021-10-27|5154.0|0|5157.0|0|97.0|0|0.0|100
0|2021-10-28|5165.0|0|5168.0|0|97.0|0|0.0|100
0|2021-10-29|5180.0|0|5183.0|0|97.0|0|0.0|100
0|2021-10-30|5180.0|0|5183.0|0|97.0|0|0.0|100
0|2021-10-31|5180.0|0|5183.0|0|97.0|0|0.0|100
0|2021-11-01|5192.0|0|5195.0|0|97.0|0|0.0|100
0|2021-11-02|5195.0|0|5198.0|0|98.0|0|0.0|100
0|2021-11-03|5206.0|0|5209.0|0|99.0|0|0.0|100
0|2021-11-04|5215.0|0|5218.0|0|99.0|0|0.0|100
0|2021-11-05|5224.0|0|5227.0|0|99.0|0|0.0|100
0|2021-11-06|5224.0|0|5227.0|0|99.0|0|0.0|100
0|2021-11-07|5224.0|0|5227.0|0|99.0|0|0.0|100
0|2021-11-08|5254.0|0|5257.0|0|99.0|0|0.0|100
0|2021-11-09|5260.0|0|5263.0|0|100.0|0|0.0|100
0|2021-11-10|5260.0|0|5290.0|0|100.0|0|0.0|100
0|2021-11-11|5329.0|0|5332.0|0|100.0|0|0.0|100
0|2021-11-12|5349.0|0|5352.0|0|102.0|0|0.0|100
0|2021-11-13|5349.0|0|5352.0|0|102.0|0|0.0|100
0|2021-11-14|5349.0|0|5352.0|0|102.0|0|0.0|100
0|2021-11-15|5411.0|0|5414.0|0|102.0|0|0.0|100
0|2021-11-16|5430.0|0|5433.0|0|102.0|0|0.0|100
0|2021-11-17|5470.0|0|5473.0|0|102.0|0|0.0|100
0|2021-11-18|5495.0|0|5498.0|0|102.0|0|0.0|100
0|2021-11-19|5516.0|0|5519.0|0|102.0|0|0.0|100
0|2021-11-20|5516.0|0|5519.0|0|102.0|0|0.0|100
0|2021-11-21|5516.0|0|5519.0|0|102.0|0|0.0|100
0|2021-11-22|5565.0|0|5568.0|0|102.0|0|0.0|100
0|2021-11-23|5579.0|0|5582.0|0|102.0|0|0.0|100
0|2021-11-24|5617.0|0|5620.0|0|102.0|0|0.0|100
0|2021-11-25|5617.0|0|5620.0|0|102.0|0|0.0|100
0|2021-11-26|5617.0|0|5620.0|0|102.0|0|0.0|100
0|2021-11-27|5617.0|0|5620.0|0|102.0|0|0.0|100
0|2021-11-28|5617.0|0|5620.0|0|102.0|0|0.0|100
