|dates|McMinn_Tennessee_UnitedStates.JHU_ConfirmedCases.data|McMinn_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|McMinn_Tennessee_UnitedStates.NYT_ConfirmedCases.data|McMinn_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|McMinn_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|McMinn_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|McMinn_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|McMinn_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|10345.0|0|10345.0|0|125.0|0|0.0|100
0|2021-10-18|10387.0|0|10387.0|0|127.0|0|0.0|100
0|2021-10-19|10403.0|0|10403.0|0|127.0|0|0.0|100
0|2021-10-20|10443.0|0|10443.0|0|128.0|0|0.0|100
0|2021-10-21|10460.0|0|10460.0|0|130.0|0|0.0|100
0|2021-10-22|10469.0|0|10469.0|0|130.0|0|0.0|100
0|2021-10-23|10469.0|0|10469.0|0|130.0|0|0.0|100
0|2021-10-24|10469.0|0|10469.0|0|130.0|0|0.0|100
0|2021-10-25|10469.0|0|10469.0|0|130.0|0|0.0|100
0|2021-10-26|10500.0|0|10500.0|0|131.0|0|0.0|100
0|2021-10-27|10512.0|0|10512.0|0|132.0|0|0.0|100
0|2021-10-28|10522.0|0|10522.0|0|132.0|0|0.0|100
0|2021-10-29|10529.0|0|10529.0|0|132.0|0|0.0|100
0|2021-10-30|10529.0|0|10529.0|0|132.0|0|0.0|100
0|2021-10-31|10529.0|0|10529.0|0|132.0|0|0.0|100
0|2021-11-01|10529.0|0|10529.0|0|132.0|0|0.0|100
0|2021-11-02|10556.0|0|10556.0|0|132.0|0|0.0|100
0|2021-11-03|10560.0|0|10560.0|0|132.0|0|0.0|100
0|2021-11-04|10570.0|0|10570.0|0|132.0|0|0.0|100
0|2021-11-05|10577.0|0|10577.0|0|133.0|0|0.0|100
0|2021-11-06|10577.0|0|10577.0|0|133.0|0|0.0|100
0|2021-11-07|10577.0|0|10577.0|0|133.0|0|0.0|100
0|2021-11-08|10577.0|0|10577.0|0|133.0|0|0.0|100
0|2021-11-09|10603.0|0|10603.0|0|134.0|0|0.0|100
0|2021-11-10|10612.0|0|10612.0|0|135.0|0|0.0|100
0|2021-11-11|10612.0|0|10612.0|0|135.0|0|0.0|100
0|2021-11-12|10622.0|0|10622.0|0|136.0|0|0.0|100
0|2021-11-13|10622.0|0|10622.0|0|136.0|0|0.0|100
0|2021-11-14|10622.0|0|10622.0|0|136.0|0|0.0|100
0|2021-11-15|10637.0|0|10637.0|0|136.0|0|0.0|100
0|2021-11-16|10647.0|0|10647.0|0|137.0|0|0.0|100
0|2021-11-17|10655.0|0|10655.0|0|137.0|0|0.0|100
0|2021-11-18|10659.0|0|10659.0|0|137.0|0|0.0|100
0|2021-11-19|10669.0|0|10669.0|0|137.0|0|0.0|100
0|2021-11-20|10669.0|0|10669.0|0|137.0|0|0.0|100
0|2021-11-21|10669.0|0|10669.0|0|137.0|0|0.0|100
0|2021-11-22|10694.0|0|10694.0|0|137.0|0|0.0|100
0|2021-11-23|10702.0|0|10702.0|0|137.0|0|0.0|100
0|2021-11-24|10704.0|0|10704.0|0|137.0|0|0.0|100
0|2021-11-25|10704.0|0|10704.0|0|137.0|0|0.0|100
0|2021-11-26|10704.0|0|10704.0|0|137.0|0|0.0|100
0|2021-11-27|10704.0|0|10704.0|0|137.0|0|0.0|100
0|2021-11-28|10704.0|0|10704.0|0|137.0|0|0.0|100
0|2021-11-29|10741.0|0|10741.0|0|137.0|0|0.0|100
0|2021-11-30|10758.0|0|10758.0|0|137.0|0|0.0|100
0|2021-12-01|10762.0|0|10762.0|0|140.0|0|0.0|100
0|2021-12-02|10782.0|0|10782.0|0|142.0|0|0.0|100
0|2021-12-03|10789.0|0|10789.0|0|143.0|0|0.0|100
0|2021-12-04|10789.0|0|10789.0|0|143.0|0|0.0|100
0|2021-12-05|10789.0|0|10789.0|0|143.0|0|0.0|100
0|2021-12-06|10825.0|0|10825.0|0|144.0|0|0.0|100
0|2021-12-07|10838.0|0|10838.0|0|145.0|0|0.0|100
0|2021-12-08|10858.0|0|10858.0|0|145.0|0|0.0|100
0|2021-12-09|10858.0|0|10858.0|0|145.0|0|0.0|100
0|2021-12-10|10885.0|0|10885.0|0|147.0|0|0.0|100
0|2021-12-11|10885.0|0|10885.0|0|147.0|0|0.0|100
0|2021-12-12|10885.0|0|10885.0|0|147.0|0|0.0|100
0|2021-12-13|10911.0|0|10911.0|0|147.0|0|0.0|100
0|2021-12-14|10911.0|0|10924.0|0|147.0|0|0.0|100
0|2021-12-15|10945.0|0|10945.0|0|150.0|0|0.0|100
0|2021-12-16|10963.0|0|10963.0|0|152.0|0|0.0|100
0|2021-12-17|10971.0|0|10971.0|0|152.0|0|0.0|100
0|2021-12-18|10971.0|0|10971.0|0|152.0|0|0.0|100
0|2021-12-19|10971.0|0|10971.0|0|152.0|0|0.0|100
0|2021-12-20|10994.0|0|10994.0|0|152.0|0|0.0|100
0|2021-12-21|11008.0|0|11008.0|0|152.0|0|0.0|100
0|2021-12-22|11025.0|0|11025.0|0|153.0|0|0.0|100
0|2021-12-23|11047.0|0|11047.0|0|193.0|0|0.0|100
0|2021-12-24|11047.0|0|11047.0|0|193.0|0|0.0|100
0|2021-12-25|11047.0|0|11047.0|0|193.0|0|0.0|100
0|2021-12-26|11047.0|0|11047.0|0|193.0|0|0.0|100
0|2021-12-27|11090.0|0|11090.0|0|196.0|0|0.0|100
0|2021-12-28|11122.0|0|11122.0|0|196.0|0|0.0|100
0|2021-12-29|11138.0|0|11138.0|0|196.0|0|0.0|100
0|2021-12-30|11183.0|0|11183.0|0|196.0|0|0.0|100
0|2021-12-31|11183.0|0|11183.0|0|196.0|0|0.0|100
0|2022-01-01|11183.0|0|11183.0|0|196.0|0|0.0|100
0|2022-01-02|11183.0|0|11183.0|0|196.0|0|0.0|100
0|2022-01-03|11299.0|0|11299.0|0|197.0|0|0.0|100
0|2022-01-04|11345.0|0|11345.0|0|198.0|0|0.0|100
0|2022-01-05|11345.0|0|11345.0|0|198.0|0|0.0|100
0|2022-01-06|11345.0|0|11345.0|0|198.0|0|0.0|100
0|2022-01-07|11345.0|0|11345.0|0|198.0|0|0.0|100
