|dates|Clark_Indiana_UnitedStates.JHU_ConfirmedCases.data|Clark_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Clark_Indiana_UnitedStates.NYT_ConfirmedCases.data|Clark_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Clark_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Clark_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Clark_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Clark_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|18383.0|0|18405.0|0|248.0|0|0.0|100
0|2021-10-18|18424.0|0|18446.0|0|250.0|0|0.0|100
0|2021-10-19|18449.0|0|18471.0|0|252.0|0|0.0|100
0|2021-10-20|18505.0|0|18527.0|0|252.0|0|0.0|100
0|2021-10-21|18540.0|0|18562.0|0|252.0|0|0.0|100
0|2021-10-22|18557.0|0|18579.0|0|252.0|0|0.0|100
0|2021-10-23|18557.0|0|18579.0|0|252.0|0|0.0|100
0|2021-10-24|18557.0|0|18579.0|0|252.0|0|0.0|100
0|2021-10-25|18609.0|0|18632.0|0|253.0|0|0.0|100
0|2021-10-26|18640.0|0|18663.0|0|254.0|0|0.0|100
0|2021-10-27|18786.0|0|18809.0|0|255.0|0|0.0|100
0|2021-10-28|18856.0|0|18878.0|0|257.0|0|0.0|100
0|2021-10-29|18888.0|0|18910.0|0|257.0|0|0.0|100
0|2021-10-30|18888.0|0|18910.0|0|257.0|0|0.0|100
0|2021-10-31|18888.0|0|18910.0|0|257.0|0|0.0|100
0|2021-11-01|18941.0|0|18963.0|0|260.0|0|0.0|100
0|2021-11-02|18966.0|0|18988.0|0|260.0|0|0.0|100
0|2021-11-03|18991.0|0|19013.0|0|260.0|0|0.0|100
0|2021-11-04|19023.0|0|19045.0|0|261.0|0|0.0|100
0|2021-11-05|19054.0|0|19076.0|0|263.0|0|0.0|100
0|2021-11-06|19054.0|0|19076.0|0|263.0|0|0.0|100
0|2021-11-07|19054.0|0|19076.0|0|263.0|0|0.0|100
0|2021-11-08|19114.0|0|19136.0|0|264.0|0|0.0|100
0|2021-11-09|19148.0|0|19170.0|0|268.0|0|0.0|100
0|2021-11-10|19176.0|0|19198.0|0|268.0|0|0.0|100
0|2021-11-11|19260.0|0|19282.0|0|268.0|0|0.0|100
0|2021-11-12|19289.0|0|19311.0|0|269.0|0|0.0|100
0|2021-11-13|19289.0|0|19311.0|0|269.0|0|0.0|100
0|2021-11-14|19289.0|0|19311.0|0|269.0|0|0.0|100
0|2021-11-15|19365.0|0|19387.0|0|269.0|0|0.0|100
0|2021-11-16|19423.0|0|19445.0|0|271.0|0|0.0|100
0|2021-11-17|19469.0|0|19491.0|0|271.0|0|0.0|100
0|2021-11-18|19514.0|0|19536.0|0|271.0|0|0.0|100
0|2021-11-19|19563.0|0|19585.0|0|271.0|0|0.0|100
0|2021-11-20|19563.0|0|19585.0|0|271.0|0|0.0|100
0|2021-11-21|19563.0|0|19585.0|0|271.0|0|0.0|100
0|2021-11-22|19665.0|0|19687.0|0|274.0|0|0.0|100
0|2021-11-23|19715.0|0|19737.0|0|274.0|0|0.0|100
0|2021-11-24|19785.0|0|19807.0|0|275.0|0|0.0|100
0|2021-11-25|19785.0|0|19807.0|0|275.0|0|0.0|100
0|2021-11-26|19785.0|0|19807.0|0|275.0|0|0.0|100
0|2021-11-27|19785.0|0|19807.0|0|275.0|0|0.0|100
0|2021-11-28|19785.0|0|19807.0|0|275.0|0|0.0|100
