|dates|Allegheny_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Allegheny_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Allegheny_Pennsylvania_UnitedStates.Male_Total_Population.data|Allegheny_Pennsylvania_UnitedStates.Male_Total_Population.missing|Allegheny_Pennsylvania_UnitedStates.Female_Total_Population.data|Allegheny_Pennsylvania_UnitedStates.Female_Total_Population.missing|Allegheny_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Allegheny_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-18|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-19|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-20|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-21|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-22|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-23|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-24|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-25|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-26|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-27|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-28|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-29|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-30|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-10-31|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-01|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-02|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-03|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-04|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-05|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-06|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-07|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-08|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-09|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-10|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-11|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-12|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-13|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-14|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-15|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-16|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-17|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-18|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-19|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-20|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-21|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-22|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-23|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-24|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-25|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-26|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-27|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-28|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-29|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-11-30|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-01|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-02|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-03|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-04|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-05|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-06|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-07|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-08|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-09|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-10|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-11|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-12|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-13|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-14|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-15|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-16|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-17|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-18|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-19|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-20|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-21|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-22|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-23|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-24|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-25|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-26|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-27|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-28|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-29|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-30|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2021-12-31|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-01|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-02|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-03|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-04|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-05|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-06|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-07|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-08|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-09|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-10|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-11|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-12|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-13|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-14|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-15|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-16|230377.0|0|588896.0|0|629556.0|0|227749.0|0
0|2022-01-17|230377.0|0|588896.0|0|629556.0|0|227749.0|0
