|dates|Union_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Union_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Union_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Union_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Union_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Union_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Union_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Union_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-18|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-19|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-20|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-21|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-22|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-23|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-24|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-25|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-26|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-27|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-28|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-29|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-30|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-10-31|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-01|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-02|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-03|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-04|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-05|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-06|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-07|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-08|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-09|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-10|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-11|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-12|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-13|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-14|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
0|2021-11-15|11302.0|0|703.0|0|5.8558933777592665|0|12005.0|0
