|dates|Perkins_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Perkins_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Perkins_Nebraska_UnitedStates.Male_Total_Population.data|Perkins_Nebraska_UnitedStates.Male_Total_Population.missing|Perkins_Nebraska_UnitedStates.Female_Total_Population.data|Perkins_Nebraska_UnitedStates.Female_Total_Population.missing|Perkins_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Perkins_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-18|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-19|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-20|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-21|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-22|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-23|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-24|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-25|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-26|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-27|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-28|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-29|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-30|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-10-31|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-01|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-02|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-03|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-04|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-05|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-06|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-07|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-08|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-09|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-10|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-11|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-12|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-13|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-14|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-15|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-16|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-17|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-18|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-19|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-20|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-21|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-22|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-23|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-24|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-25|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-26|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-27|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-28|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-29|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-11-30|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-01|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-02|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-03|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-04|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-05|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-06|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-07|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-08|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-09|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-10|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-11|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-12|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-13|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-14|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-15|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-16|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-17|687.0|0|1492.0|0|1437.0|0|733.0|0
0|2021-12-18|687.0|0|1492.0|0|1437.0|0|733.0|0
