|dates|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Halifax_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Halifax_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Halifax_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7739.0|0|7739.0|0|134.0|0|0.0|100
0|2021-10-18|7786.0|0|7786.0|0|134.0|0|0.0|100
0|2021-10-19|7790.0|0|7790.0|0|134.0|0|0.0|100
0|2021-10-20|7799.0|0|7799.0|0|136.0|0|0.0|100
0|2021-10-21|7820.0|0|7820.0|0|136.0|0|0.0|100
0|2021-10-22|7835.0|0|7835.0|0|137.0|0|0.0|100
0|2021-10-23|7835.0|0|7835.0|0|137.0|0|0.0|100
0|2021-10-24|7835.0|0|7835.0|0|137.0|0|0.0|100
0|2021-10-25|7864.0|0|7864.0|0|138.0|0|0.0|100
0|2021-10-26|7865.0|0|7865.0|0|139.0|0|0.0|100
0|2021-10-27|7876.0|0|7876.0|0|139.0|0|0.0|100
0|2021-10-28|7898.0|0|7898.0|0|139.0|0|0.0|100
0|2021-10-29|7918.0|0|7918.0|0|139.0|0|0.0|100
0|2021-10-30|7918.0|0|7918.0|0|139.0|0|0.0|100
0|2021-10-31|7918.0|0|7918.0|0|139.0|0|0.0|100
0|2021-11-01|7940.0|0|7940.0|0|139.0|0|0.0|100
0|2021-11-02|7943.0|0|7943.0|0|140.0|0|0.0|100
0|2021-11-03|7950.0|0|7950.0|0|141.0|0|0.0|100
0|2021-11-04|7955.0|0|7955.0|0|141.0|0|0.0|100
0|2021-11-05|7965.0|0|7965.0|0|142.0|0|0.0|100
0|2021-11-06|7965.0|0|7965.0|0|142.0|0|0.0|100
0|2021-11-07|7965.0|0|7965.0|0|142.0|0|0.0|100
0|2021-11-08|7987.0|0|7987.0|0|143.0|0|0.0|100
0|2021-11-09|7991.0|0|7991.0|0|143.0|0|0.0|100
0|2021-11-10|7997.0|0|7997.0|0|143.0|0|0.0|100
0|2021-11-11|7997.0|0|7997.0|0|143.0|0|0.0|100
0|2021-11-12|8004.0|0|8004.0|0|143.0|0|0.0|100
0|2021-11-13|8004.0|0|8004.0|0|143.0|0|0.0|100
0|2021-11-14|8004.0|0|8004.0|0|143.0|0|0.0|100
0|2021-11-15|8013.0|0|8013.0|0|143.0|0|0.0|100
0|2021-11-16|8013.0|0|8013.0|0|144.0|0|0.0|100
0|2021-11-17|8016.0|0|8016.0|0|144.0|0|0.0|100
0|2021-11-18|8027.0|0|8027.0|0|144.0|0|0.0|100
0|2021-11-19|8029.0|0|8029.0|0|144.0|0|0.0|100
0|2021-11-20|8029.0|0|8029.0|0|144.0|0|0.0|100
0|2021-11-21|8029.0|0|8029.0|0|144.0|0|0.0|100
