|dates|Boyle_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Boyle_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Boyle_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Boyle_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Boyle_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Boyle_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Boyle_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Boyle_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5273.0|0|5273.0|0|79.0|0|0.0|100
0|2021-10-18|5288.0|0|5288.0|0|79.0|0|0.0|100
0|2021-10-19|5298.0|0|5298.0|0|79.0|0|0.0|100
0|2021-10-20|5306.0|0|5306.0|0|79.0|0|0.0|100
0|2021-10-21|5317.0|0|5317.0|0|79.0|0|0.0|100
0|2021-10-22|5318.0|0|5318.0|0|79.0|0|0.0|100
0|2021-10-23|5318.0|0|5318.0|0|79.0|0|0.0|100
0|2021-10-24|5318.0|0|5318.0|0|79.0|0|0.0|100
0|2021-10-25|5334.0|0|5334.0|0|79.0|0|0.0|100
0|2021-10-26|5340.0|0|5340.0|0|79.0|0|0.0|100
0|2021-10-27|5348.0|0|5348.0|0|79.0|0|0.0|100
0|2021-10-28|5357.0|0|5357.0|0|79.0|0|0.0|100
0|2021-10-29|5368.0|0|5368.0|0|79.0|0|0.0|100
0|2021-10-30|5368.0|0|5368.0|0|79.0|0|0.0|100
0|2021-10-31|5368.0|0|5368.0|0|79.0|0|0.0|100
0|2021-11-01|5393.0|0|5393.0|0|81.0|0|0.0|100
0|2021-11-02|5399.0|0|5399.0|0|81.0|0|0.0|100
0|2021-11-03|5407.0|0|5407.0|0|81.0|0|0.0|100
0|2021-11-04|5414.0|0|5414.0|0|81.0|0|0.0|100
0|2021-11-05|5421.0|0|5421.0|0|81.0|0|0.0|100
0|2021-11-06|5421.0|0|5421.0|0|81.0|0|0.0|100
0|2021-11-07|5421.0|0|5421.0|0|81.0|0|0.0|100
0|2021-11-08|5444.0|0|5444.0|0|81.0|0|0.0|100
0|2021-11-09|5459.0|0|5459.0|0|81.0|0|0.0|100
0|2021-11-10|5459.0|0|5472.0|0|81.0|0|0.0|100
0|2021-11-11|5472.0|0|5472.0|0|82.0|0|0.0|100
0|2021-11-12|5487.0|0|5487.0|0|83.0|0|0.0|100
0|2021-11-13|5487.0|0|5487.0|0|83.0|0|0.0|100
0|2021-11-14|5487.0|0|5487.0|0|83.0|0|0.0|100
0|2021-11-15|5508.0|0|5508.0|0|83.0|0|0.0|100
0|2021-11-16|5527.0|0|5527.0|0|84.0|0|0.0|100
0|2021-11-17|5550.0|0|5550.0|0|84.0|0|0.0|100
0|2021-11-18|5556.0|0|5556.0|0|84.0|0|0.0|100
0|2021-11-19|5558.0|0|5558.0|0|85.0|0|0.0|100
