|dates|Rosebud_Montana_UnitedStates.JHU_ConfirmedCases.data|Rosebud_Montana_UnitedStates.JHU_ConfirmedCases.missing|Rosebud_Montana_UnitedStates.NYT_ConfirmedCases.data|Rosebud_Montana_UnitedStates.NYT_ConfirmedCases.missing|Rosebud_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Rosebud_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Rosebud_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Rosebud_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1598.0|0|1598.0|0|56.0|0|0.0|100
0|2021-10-18|1606.0|0|1606.0|0|56.0|0|0.0|100
0|2021-10-19|1609.0|0|1609.0|0|56.0|0|0.0|100
0|2021-10-20|1614.0|0|1614.0|0|56.0|0|0.0|100
0|2021-10-21|1615.0|0|1615.0|0|56.0|0|0.0|100
0|2021-10-22|1621.0|0|1621.0|0|56.0|0|0.0|100
0|2021-10-23|1621.0|0|1621.0|0|56.0|0|0.0|100
0|2021-10-24|1621.0|0|1621.0|0|56.0|0|0.0|100
0|2021-10-25|1645.0|0|1645.0|0|56.0|0|0.0|100
0|2021-10-26|1649.0|0|1649.0|0|56.0|0|0.0|100
0|2021-10-27|1655.0|0|1655.0|0|56.0|0|0.0|100
0|2021-10-28|1660.0|0|1660.0|0|56.0|0|0.0|100
0|2021-10-29|1669.0|0|1669.0|0|56.0|0|0.0|100
0|2021-10-30|1669.0|0|1669.0|0|56.0|0|0.0|100
0|2021-10-31|1669.0|0|1669.0|0|56.0|0|0.0|100
0|2021-11-01|1668.0|0|1668.0|0|56.0|0|0.0|100
0|2021-11-02|1673.0|0|1673.0|0|56.0|0|0.0|100
0|2021-11-03|1673.0|0|1673.0|0|56.0|0|0.0|100
0|2021-11-04|1674.0|0|1674.0|0|56.0|0|0.0|100
0|2021-11-05|1677.0|0|1677.0|0|56.0|0|0.0|100
0|2021-11-06|1677.0|0|1677.0|0|56.0|0|0.0|100
0|2021-11-07|1677.0|0|1677.0|0|56.0|0|0.0|100
0|2021-11-08|1680.0|0|1680.0|0|56.0|0|0.0|100
0|2021-11-09|1686.0|0|1686.0|0|56.0|0|0.0|100
0|2021-11-10|1686.0|0|1692.0|0|56.0|0|0.0|100
0|2021-11-11|1692.0|0|1692.0|0|56.0|0|0.0|100
0|2021-11-12|1697.0|0|1697.0|0|58.0|0|0.0|100
0|2021-11-13|1697.0|0|1697.0|0|58.0|0|0.0|100
0|2021-11-14|1697.0|0|1697.0|0|58.0|0|0.0|100
0|2021-11-15|1697.0|0|1697.0|0|58.0|0|0.0|100
0|2021-11-16|1702.0|0|1702.0|0|58.0|0|0.0|100
0|2021-11-17|1703.0|0|1703.0|0|58.0|0|0.0|100
