|dates|Grayson_Texas_UnitedStates.JHU_ConfirmedCases.data|Grayson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Grayson_Texas_UnitedStates.NYT_ConfirmedCases.data|Grayson_Texas_UnitedStates.NYT_ConfirmedCases.missing|Grayson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Grayson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Grayson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Grayson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|16000.0|0|16000.0|0|469.0|0|0.0|100
0|2021-10-18|16000.0|0|16000.0|0|469.0|0|0.0|100
0|2021-10-19|16067.0|0|16067.0|0|470.0|0|0.0|100
0|2021-10-20|16077.0|0|16077.0|0|471.0|0|0.0|100
0|2021-10-21|16094.0|0|16094.0|0|474.0|0|0.0|100
0|2021-10-22|16104.0|0|16104.0|0|477.0|0|0.0|100
0|2021-10-23|16104.0|0|16104.0|0|480.0|0|0.0|100
0|2021-10-24|16104.0|0|16104.0|0|480.0|0|0.0|100
0|2021-10-25|16104.0|0|16104.0|0|480.0|0|0.0|100
0|2021-10-26|16190.0|0|16190.0|0|483.0|0|0.0|100
0|2021-10-27|16190.0|0|16190.0|0|486.0|0|0.0|100
0|2021-10-28|16190.0|0|16190.0|0|491.0|0|0.0|100
0|2021-10-29|16228.0|0|16228.0|0|491.0|0|0.0|100
0|2021-10-30|16228.0|0|16228.0|0|491.0|0|0.0|100
0|2021-10-31|16228.0|0|16228.0|0|492.0|0|0.0|100
0|2021-11-01|16228.0|0|16228.0|0|492.0|0|0.0|100
0|2021-11-02|16284.0|0|16284.0|0|493.0|0|0.0|100
0|2021-11-03|16291.0|0|16291.0|0|495.0|0|0.0|100
0|2021-11-04|16291.0|0|16291.0|0|495.0|0|0.0|100
0|2021-11-05|16317.0|0|16317.0|0|496.0|0|0.0|100
0|2021-11-06|16330.0|0|16330.0|0|496.0|0|0.0|100
0|2021-11-07|16330.0|0|16330.0|0|497.0|0|0.0|100
0|2021-11-08|16330.0|0|16330.0|0|497.0|0|0.0|100
0|2021-11-09|16339.0|0|16339.0|0|498.0|0|0.0|100
0|2021-11-10|16339.0|0|16339.0|0|498.0|0|0.0|100
0|2021-11-11|16371.0|0|16371.0|0|499.0|0|0.0|100
0|2021-11-12|16371.0|0|16371.0|0|502.0|0|0.0|100
0|2021-11-13|16371.0|0|16371.0|0|502.0|0|0.0|100
0|2021-11-14|16371.0|0|16371.0|0|503.0|0|0.0|100
0|2021-11-15|16371.0|0|16371.0|0|503.0|0|0.0|100
0|2021-11-16|16410.0|0|16410.0|0|503.0|0|0.0|100
0|2021-11-17|16414.0|0|16414.0|0|504.0|0|0.0|100
0|2021-11-18|16421.0|0|16421.0|0|505.0|0|0.0|100
0|2021-11-19|16428.0|0|16428.0|0|505.0|0|0.0|100
0|2021-11-20|16432.0|0|16432.0|0|505.0|0|0.0|100
0|2021-11-21|16432.0|0|16432.0|0|506.0|0|0.0|100
0|2021-11-22|16432.0|0|16432.0|0|507.0|0|0.0|100
0|2021-11-23|16432.0|0|16432.0|0|507.0|0|0.0|100
0|2021-11-24|16432.0|0|16432.0|0|508.0|0|0.0|100
0|2021-11-25|16432.0|0|16432.0|0|508.0|0|0.0|100
0|2021-11-26|16432.0|0|16432.0|0|508.0|0|0.0|100
0|2021-11-27|16432.0|0|16432.0|0|508.0|0|0.0|100
