|dates|Berkshire_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Berkshire_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Berkshire_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Berkshire_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Berkshire_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Berkshire_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Berkshire_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Berkshire_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8479.0|0|8479.0|0|318.0|0|0.0|100
0|2021-10-18|8555.0|0|8555.0|0|319.0|0|0.0|100
0|2021-10-19|8584.0|0|8584.0|0|320.0|0|0.0|100
0|2021-10-20|8616.0|0|8616.0|0|320.0|0|0.0|100
0|2021-10-21|8656.0|0|8656.0|0|320.0|0|0.0|100
0|2021-10-22|8699.0|0|8699.0|0|321.0|0|0.0|100
0|2021-10-23|8699.0|0|8699.0|0|321.0|0|0.0|100
0|2021-10-24|8699.0|0|8699.0|0|321.0|0|0.0|100
0|2021-10-25|8798.0|0|8798.0|0|322.0|0|0.0|100
0|2021-10-26|8828.0|0|8828.0|0|322.0|0|0.0|100
0|2021-10-27|8865.0|0|8865.0|0|322.0|0|0.0|100
0|2021-10-28|8865.0|0|8911.0|0|323.0|0|0.0|100
0|2021-10-29|8973.0|0|8973.0|0|323.0|0|0.0|100
0|2021-10-30|8973.0|0|8973.0|0|323.0|0|0.0|100
0|2021-10-31|8973.0|0|8973.0|0|323.0|0|0.0|100
0|2021-11-01|9088.0|0|9088.0|0|323.0|0|0.0|100
0|2021-11-02|9122.0|0|9122.0|0|323.0|0|0.0|100
0|2021-11-03|9160.0|0|9160.0|0|323.0|0|0.0|100
0|2021-11-04|9201.0|0|9201.0|0|323.0|0|0.0|100
0|2021-11-05|9245.0|0|9245.0|0|323.0|0|0.0|100
0|2021-11-06|9245.0|0|9245.0|0|323.0|0|0.0|100
0|2021-11-07|9245.0|0|9245.0|0|323.0|0|0.0|100
0|2021-11-08|9388.0|0|9388.0|0|324.0|0|0.0|100
0|2021-11-09|9427.0|0|9427.0|0|325.0|0|0.0|100
0|2021-11-10|9427.0|0|9483.0|0|325.0|0|0.0|100
0|2021-11-11|9483.0|0|9483.0|0|327.0|0|0.0|100
0|2021-11-12|9597.0|0|9597.0|0|327.0|0|0.0|100
0|2021-11-13|9597.0|0|9597.0|0|327.0|0|0.0|100
0|2021-11-14|9597.0|0|9597.0|0|327.0|0|0.0|100
0|2021-11-15|9721.0|0|9721.0|0|328.0|0|0.0|100
0|2021-11-16|9759.0|0|9759.0|0|330.0|0|0.0|100
0|2021-11-17|9821.0|0|9821.0|0|330.0|0|0.0|100
0|2021-11-18|9884.0|0|9884.0|0|330.0|0|0.0|100
0|2021-11-19|9974.0|0|9974.0|0|330.0|0|0.0|100
0|2021-11-20|9974.0|0|9974.0|0|330.0|0|0.0|100
0|2021-11-21|9974.0|0|9974.0|0|330.0|0|0.0|100
0|2021-11-22|10171.0|0|10171.0|0|331.0|0|0.0|100
0|2021-11-23|10229.0|0|10229.0|0|331.0|0|0.0|100
0|2021-11-24|10310.0|0|10310.0|0|331.0|0|0.0|100
0|2021-11-25|10310.0|0|10310.0|0|331.0|0|0.0|100
0|2021-11-26|10476.0|0|10476.0|0|331.0|0|0.0|100
0|2021-11-27|10476.0|0|10476.0|0|331.0|0|0.0|100
0|2021-11-28|10476.0|0|10476.0|0|331.0|0|0.0|100
0|2021-11-29|10613.0|0|10613.0|0|331.0|0|0.0|100
0|2021-11-30|10681.0|0|10681.0|0|331.0|0|0.0|100
0|2021-12-01|10771.0|0|10771.0|0|332.0|0|0.0|100
0|2021-12-02|10771.0|0|10889.0|0|332.0|0|0.0|100
0|2021-12-03|11002.0|0|11002.0|0|333.0|0|0.0|100
0|2021-12-04|11002.0|0|11002.0|0|333.0|0|0.0|100
0|2021-12-05|11002.0|0|11002.0|0|333.0|0|0.0|100
0|2021-12-06|11228.0|0|11228.0|0|333.0|0|0.0|100
0|2021-12-07|11285.0|0|11285.0|0|335.0|0|0.0|100
0|2021-12-08|11368.0|0|11368.0|0|335.0|0|0.0|100
0|2021-12-09|11442.0|0|11442.0|0|335.0|0|0.0|100
0|2021-12-10|11534.0|0|11534.0|0|335.0|0|0.0|100
0|2021-12-11|11534.0|0|11534.0|0|335.0|0|0.0|100
0|2021-12-12|11534.0|0|11534.0|0|335.0|0|0.0|100
0|2021-12-13|11741.0|0|11741.0|0|335.0|0|0.0|100
0|2021-12-14|11741.0|0|11784.0|0|335.0|0|0.0|100
0|2021-12-15|11842.0|0|11842.0|0|336.0|0|0.0|100
0|2021-12-16|11918.0|0|11918.0|0|336.0|0|0.0|100
0|2021-12-17|12005.0|0|12005.0|0|336.0|0|0.0|100
0|2021-12-18|12005.0|0|12005.0|0|336.0|0|0.0|100
0|2021-12-19|12005.0|0|12005.0|0|336.0|0|0.0|100
0|2021-12-20|12198.0|0|12198.0|0|336.0|0|0.0|100
0|2021-12-21|12264.0|0|12264.0|0|337.0|0|0.0|100
0|2021-12-22|12342.0|0|12342.0|0|337.0|0|0.0|100
0|2021-12-23|12435.0|0|12435.0|0|338.0|0|0.0|100
0|2021-12-24|12534.0|0|12534.0|0|340.0|0|0.0|100
0|2021-12-25|12534.0|0|12534.0|0|340.0|0|0.0|100
0|2021-12-26|12534.0|0|12534.0|0|340.0|0|0.0|100
0|2021-12-27|12707.0|0|12707.0|0|340.0|0|0.0|100
0|2021-12-28|12794.0|0|12794.0|0|341.0|0|0.0|100
0|2021-12-29|12930.0|0|12930.0|0|341.0|0|0.0|100
0|2021-12-30|13117.0|0|13117.0|0|342.0|0|0.0|100
0|2021-12-31|13350.0|0|13350.0|0|344.0|0|0.0|100
0|2022-01-01|13350.0|0|13350.0|0|344.0|0|0.0|100
0|2022-01-02|13350.0|0|13350.0|0|344.0|0|0.0|100
0|2022-01-03|13872.0|0|13872.0|0|344.0|0|0.0|100
0|2022-01-04|14073.0|0|14073.0|0|347.0|0|0.0|100
0|2022-01-05|14365.0|0|14365.0|0|349.0|0|0.0|100
0|2022-01-06|14689.0|0|14689.0|0|349.0|0|0.0|100
