|dates|Emery_Utah_UnitedStates.JHU_ConfirmedCases.data|Emery_Utah_UnitedStates.JHU_ConfirmedCases.missing|Emery_Utah_UnitedStates.NYT_ConfirmedCases.data|Emery_Utah_UnitedStates.NYT_ConfirmedCases.missing|Emery_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Emery_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Emery_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Emery_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3.0|0|1408.0|0|0.0|0|0.0|100
0|2021-10-18|3.0|0|1408.0|0|0.0|0|0.0|100
0|2021-10-19|3.0|0|1425.0|0|0.0|0|0.0|100
0|2021-10-20|3.0|0|1437.0|0|0.0|0|0.0|100
0|2021-10-21|3.0|0|1451.0|0|0.0|0|0.0|100
0|2021-10-22|3.0|0|1461.0|0|0.0|0|0.0|100
0|2021-10-23|3.0|0|1466.0|0|0.0|0|0.0|100
0|2021-10-24|3.0|0|1466.0|0|0.0|0|0.0|100
0|2021-10-25|3.0|0|1466.0|0|0.0|0|0.0|100
0|2021-10-26|3.0|0|1505.0|0|0.0|0|0.0|100
0|2021-10-27|3.0|0|1526.0|0|0.0|0|0.0|100
0|2021-10-28|3.0|0|1540.0|0|0.0|0|0.0|100
0|2021-10-29|3.0|0|1549.0|0|0.0|0|0.0|100
0|2021-10-30|3.0|0|1551.0|0|0.0|0|0.0|100
0|2021-10-31|3.0|0|1551.0|0|0.0|0|0.0|100
0|2021-11-01|3.0|0|1551.0|0|0.0|0|0.0|100
0|2021-11-02|3.0|0|1586.0|0|0.0|0|0.0|100
0|2021-11-03|3.0|0|1599.0|0|0.0|0|0.0|100
0|2021-11-04|3.0|0|1610.0|0|0.0|0|0.0|100
0|2021-11-05|3.0|0|1618.0|0|0.0|0|0.0|100
0|2021-11-06|3.0|0|1628.0|0|0.0|0|0.0|100
0|2021-11-07|3.0|0|1628.0|0|0.0|0|0.0|100
0|2021-11-08|3.0|0|1628.0|0|0.0|0|0.0|100
0|2021-11-09|3.0|0|1643.0|0|0.0|0|0.0|100
0|2021-11-10|3.0|0|1650.0|0|0.0|0|0.0|100
0|2021-11-11|3.0|0|1657.0|0|0.0|0|0.0|100
0|2021-11-12|3.0|0|1657.0|0|0.0|0|0.0|100
0|2021-11-13|3.0|0|1663.0|0|0.0|0|0.0|100
0|2021-11-14|3.0|0|1663.0|0|0.0|0|0.0|100
0|2021-11-15|3.0|0|1663.0|0|0.0|0|0.0|100
0|2021-11-16|3.0|0|1680.0|0|0.0|0|0.0|100
0|2021-11-17|3.0|0|1680.0|0|0.0|0|0.0|100
0|2021-11-18|3.0|0|1683.0|0|0.0|0|0.0|100
0|2021-11-19|3.0|0|1684.0|0|0.0|0|0.0|100
0|2021-11-20|3.0|0|1691.0|0|0.0|0|0.0|100
0|2021-11-21|3.0|0|1691.0|0|0.0|0|0.0|100
