|dates|Loup_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Loup_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Loup_Nebraska_UnitedStates.Male_Total_Population.data|Loup_Nebraska_UnitedStates.Male_Total_Population.missing|Loup_Nebraska_UnitedStates.Female_Total_Population.data|Loup_Nebraska_UnitedStates.Female_Total_Population.missing|Loup_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Loup_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-18|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-19|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-20|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-21|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-22|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-23|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-24|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-25|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-26|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-27|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-28|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-29|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-30|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-10-31|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-01|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-02|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-03|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-04|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-05|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-06|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-07|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-08|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-09|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-10|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-11|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-12|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-13|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-14|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-15|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-16|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-17|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-18|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-19|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-20|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-21|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-22|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-23|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-24|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-25|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-26|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-27|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-28|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-29|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-11-30|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-01|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-02|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-03|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-04|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-05|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-06|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-07|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-08|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-09|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-10|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-11|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-12|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-13|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-14|165.0|0|315.0|0|303.0|0|117.0|0
0|2021-12-15|165.0|0|315.0|0|303.0|0|117.0|0
