|dates|Iredell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Iredell_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Iredell_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Iredell_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Iredell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Iredell_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Iredell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Iredell_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|28258.0|0|28258.0|0|314.0|0|0.0|100
0|2021-10-18|28387.0|0|28387.0|0|317.0|0|0.0|100
0|2021-10-19|28434.0|0|28434.0|0|318.0|0|0.0|100
0|2021-10-20|28471.0|0|28471.0|0|319.0|0|0.0|100
0|2021-10-21|28518.0|0|28518.0|0|320.0|0|0.0|100
0|2021-10-22|28584.0|0|28584.0|0|320.0|0|0.0|100
0|2021-10-23|28584.0|0|28584.0|0|320.0|0|0.0|100
0|2021-10-24|28584.0|0|28584.0|0|320.0|0|0.0|100
0|2021-10-25|28703.0|0|28703.0|0|321.0|0|0.0|100
0|2021-10-26|28726.0|0|28726.0|0|321.0|0|0.0|100
0|2021-10-27|28786.0|0|28786.0|0|322.0|0|0.0|100
0|2021-10-28|28838.0|0|28838.0|0|323.0|0|0.0|100
0|2021-10-29|28885.0|0|28885.0|0|324.0|0|0.0|100
0|2021-10-30|28885.0|0|28885.0|0|324.0|0|0.0|100
0|2021-10-31|28885.0|0|28885.0|0|324.0|0|0.0|100
0|2021-11-01|28979.0|0|28979.0|0|324.0|0|0.0|100
0|2021-11-02|29011.0|0|29011.0|0|324.0|0|0.0|100
0|2021-11-03|29049.0|0|29049.0|0|326.0|0|0.0|100
0|2021-11-04|29088.0|0|29088.0|0|326.0|0|0.0|100
0|2021-11-05|29117.0|0|29117.0|0|326.0|0|0.0|100
0|2021-11-06|29117.0|0|29117.0|0|326.0|0|0.0|100
0|2021-11-07|29117.0|0|29117.0|0|326.0|0|0.0|100
0|2021-11-08|29214.0|0|29214.0|0|327.0|0|0.0|100
0|2021-11-09|29240.0|0|29240.0|0|327.0|0|0.0|100
0|2021-11-10|29272.0|0|29272.0|0|328.0|0|0.0|100
0|2021-11-11|29272.0|0|29272.0|0|328.0|0|0.0|100
0|2021-11-12|29409.0|0|29409.0|0|329.0|0|0.0|100
0|2021-11-13|29409.0|0|29409.0|0|329.0|0|0.0|100
0|2021-11-14|29409.0|0|29409.0|0|329.0|0|0.0|100
0|2021-11-15|29535.0|0|29535.0|0|330.0|0|0.0|100
0|2021-11-16|29587.0|0|29587.0|0|330.0|0|0.0|100
0|2021-11-17|29663.0|0|29663.0|0|330.0|0|0.0|100
0|2021-11-18|29732.0|0|29732.0|0|330.0|0|0.0|100
0|2021-11-19|29791.0|0|29791.0|0|331.0|0|0.0|100
0|2021-11-20|29791.0|0|29791.0|0|331.0|0|0.0|100
0|2021-11-21|29791.0|0|29791.0|0|331.0|0|0.0|100
0|2021-11-22|29923.0|0|29923.0|0|331.0|0|0.0|100
0|2021-11-23|29972.0|0|29972.0|0|331.0|0|0.0|100
0|2021-11-24|30047.0|0|30047.0|0|331.0|0|0.0|100
0|2021-11-25|30047.0|0|30047.0|0|331.0|0|0.0|100
0|2021-11-26|30047.0|0|30047.0|0|331.0|0|0.0|100
0|2021-11-27|30047.0|0|30047.0|0|331.0|0|0.0|100
0|2021-11-28|30047.0|0|30047.0|0|331.0|0|0.0|100
0|2021-11-29|30231.0|0|30231.0|0|332.0|0|0.0|100
0|2021-11-30|30291.0|0|30291.0|0|332.0|0|0.0|100
