|dates|Pecos_Texas_UnitedStates.BLS_EmployedPopulation.data|Pecos_Texas_UnitedStates.BLS_EmployedPopulation.missing|Pecos_Texas_UnitedStates.BLS_UnemployedPopulation.data|Pecos_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Pecos_Texas_UnitedStates.BLS_UnemploymentRate.data|Pecos_Texas_UnitedStates.BLS_UnemploymentRate.missing|Pecos_Texas_UnitedStates.BLS_LaborForcePopulation.data|Pecos_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-18|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-19|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-20|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-21|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-22|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-23|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-24|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-25|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-26|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-27|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-28|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-29|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-30|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-10-31|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-01|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-02|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-03|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-04|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-05|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-06|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-07|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-08|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-09|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-10|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-11|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-12|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-13|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-14|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-15|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-16|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-17|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-18|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-19|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-20|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-21|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-22|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-23|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-24|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-25|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-26|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-27|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-28|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-29|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-11-30|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-01|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-02|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-03|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-04|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-05|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-06|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-07|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-08|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-09|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-10|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-11|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-12|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
0|2021-12-13|6130.0|0|465.0|0|7.050796057619409|0|6595.0|0
