|dates|Bourbon_Kansas_UnitedStates.JHU_ConfirmedCases.data|Bourbon_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Bourbon_Kansas_UnitedStates.NYT_ConfirmedCases.data|Bourbon_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Bourbon_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Bourbon_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Bourbon_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Bourbon_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2407.0|0|2407.0|0|41.0|0|0.0|100
0|2021-10-18|2415.0|0|2415.0|0|41.0|0|0.0|100
0|2021-10-19|2415.0|0|2415.0|0|41.0|0|0.0|100
0|2021-10-20|2419.0|0|2419.0|0|42.0|0|0.0|100
0|2021-10-21|2419.0|0|2419.0|0|42.0|0|0.0|100
0|2021-10-22|2435.0|0|2435.0|0|42.0|0|0.0|100
0|2021-10-23|2435.0|0|2435.0|0|42.0|0|0.0|100
0|2021-10-24|2435.0|0|2435.0|0|42.0|0|0.0|100
0|2021-10-25|2446.0|0|2446.0|0|42.0|0|0.0|100
0|2021-10-26|2446.0|0|2446.0|0|42.0|0|0.0|100
0|2021-10-27|2451.0|0|2451.0|0|43.0|0|0.0|100
0|2021-10-28|2451.0|0|2451.0|0|43.0|0|0.0|100
0|2021-10-29|2462.0|0|2462.0|0|43.0|0|0.0|100
0|2021-10-30|2462.0|0|2462.0|0|43.0|0|0.0|100
0|2021-10-31|2462.0|0|2462.0|0|43.0|0|0.0|100
0|2021-11-01|2471.0|0|2471.0|0|43.0|0|0.0|100
0|2021-11-02|2471.0|0|2471.0|0|43.0|0|0.0|100
0|2021-11-03|2490.0|0|2490.0|0|43.0|0|0.0|100
0|2021-11-04|2490.0|0|2490.0|0|43.0|0|0.0|100
0|2021-11-05|2504.0|0|2504.0|0|43.0|0|0.0|100
0|2021-11-06|2504.0|0|2504.0|0|43.0|0|0.0|100
0|2021-11-07|2504.0|0|2504.0|0|43.0|0|0.0|100
0|2021-11-08|2525.0|0|2525.0|0|43.0|0|0.0|100
0|2021-11-09|2525.0|0|2525.0|0|43.0|0|0.0|100
0|2021-11-10|2525.0|0|2539.0|0|43.0|0|0.0|100
0|2021-11-11|2539.0|0|2539.0|0|44.0|0|0.0|100
0|2021-11-12|2554.0|0|2554.0|0|44.0|0|0.0|100
0|2021-11-13|2554.0|0|2554.0|0|44.0|0|0.0|100
0|2021-11-14|2554.0|0|2554.0|0|44.0|0|0.0|100
0|2021-11-15|2562.0|0|2562.0|0|44.0|0|0.0|100
0|2021-11-16|2562.0|0|2562.0|0|44.0|0|0.0|100
0|2021-11-17|2573.0|0|2573.0|0|44.0|0|0.0|100
0|2021-11-18|2573.0|0|2573.0|0|44.0|0|0.0|100
0|2021-11-19|2593.0|0|2593.0|0|44.0|0|0.0|100
0|2021-11-20|2593.0|0|2593.0|0|44.0|0|0.0|100
0|2021-11-21|2593.0|0|2593.0|0|44.0|0|0.0|100
0|2021-11-22|2601.0|0|2601.0|0|44.0|0|0.0|100
0|2021-11-23|2601.0|0|2601.0|0|44.0|0|0.0|100
0|2021-11-24|2601.0|0|2613.0|0|44.0|0|0.0|100
0|2021-11-25|2613.0|0|2613.0|0|44.0|0|0.0|100
0|2021-11-26|2613.0|0|2613.0|0|44.0|0|0.0|100
0|2021-11-27|2613.0|0|2613.0|0|44.0|0|0.0|100
0|2021-11-28|2613.0|0|2613.0|0|44.0|0|0.0|100
0|2021-11-29|2637.0|0|2637.0|0|44.0|0|0.0|100
0|2021-11-30|2637.0|0|2637.0|0|44.0|0|0.0|100
0|2021-12-01|2659.0|0|2659.0|0|44.0|0|0.0|100
0|2021-12-02|2659.0|0|2659.0|0|44.0|0|0.0|100
0|2021-12-03|2659.0|0|2684.0|0|44.0|0|0.0|100
0|2021-12-04|2684.0|0|2684.0|0|44.0|0|0.0|100
0|2021-12-05|2684.0|0|2684.0|0|44.0|0|0.0|100
0|2021-12-06|2697.0|0|2697.0|0|44.0|0|0.0|100
0|2021-12-07|2697.0|0|2697.0|0|44.0|0|0.0|100
0|2021-12-08|2722.0|0|2722.0|0|44.0|0|0.0|100
0|2021-12-09|2722.0|0|2722.0|0|44.0|0|0.0|100
0|2021-12-10|2742.0|0|2742.0|0|44.0|0|0.0|100
0|2021-12-11|2742.0|0|2742.0|0|44.0|0|0.0|100
0|2021-12-12|2742.0|0|2742.0|0|44.0|0|0.0|100
0|2021-12-13|2769.0|0|2769.0|0|44.0|0|0.0|100
0|2021-12-14|2769.0|0|2769.0|0|44.0|0|0.0|100
0|2021-12-15|2799.0|0|2799.0|0|44.0|0|0.0|100
0|2021-12-16|2799.0|0|2799.0|0|44.0|0|0.0|100
0|2021-12-17|2823.0|0|2823.0|0|44.0|0|0.0|100
