|dates|White_Tennessee_UnitedStates.JHU_ConfirmedCases.data|White_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|White_Tennessee_UnitedStates.NYT_ConfirmedCases.data|White_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|White_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|White_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|White_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|White_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5551.0|0|5551.0|0|95.0|0|0.0|100
0|2021-10-18|5565.0|0|5565.0|0|95.0|0|0.0|100
0|2021-10-19|5571.0|0|5571.0|0|95.0|0|0.0|100
0|2021-10-20|5581.0|0|5581.0|0|95.0|0|0.0|100
0|2021-10-21|5597.0|0|5597.0|0|95.0|0|0.0|100
0|2021-10-22|5604.0|0|5604.0|0|96.0|0|0.0|100
0|2021-10-23|5604.0|0|5604.0|0|96.0|0|0.0|100
0|2021-10-24|5604.0|0|5604.0|0|96.0|0|0.0|100
0|2021-10-25|5604.0|0|5604.0|0|96.0|0|0.0|100
0|2021-10-26|5620.0|0|5620.0|0|97.0|0|0.0|100
0|2021-10-27|5622.0|0|5622.0|0|97.0|0|0.0|100
0|2021-10-28|5631.0|0|5631.0|0|97.0|0|0.0|100
0|2021-10-29|5633.0|0|5633.0|0|97.0|0|0.0|100
0|2021-10-30|5633.0|0|5633.0|0|97.0|0|0.0|100
0|2021-10-31|5633.0|0|5633.0|0|97.0|0|0.0|100
0|2021-11-01|5633.0|0|5633.0|0|97.0|0|0.0|100
0|2021-11-02|5644.0|0|5644.0|0|97.0|0|0.0|100
0|2021-11-03|5648.0|0|5648.0|0|98.0|0|0.0|100
0|2021-11-04|5657.0|0|5657.0|0|98.0|0|0.0|100
0|2021-11-05|5658.0|0|5658.0|0|98.0|0|0.0|100
0|2021-11-06|5658.0|0|5658.0|0|98.0|0|0.0|100
0|2021-11-07|5658.0|0|5658.0|0|98.0|0|0.0|100
