|dates|Murray_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Murray_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Murray_Oklahoma_UnitedStates.NYT_ConfirmedCases.data|Murray_Oklahoma_UnitedStates.NYT_ConfirmedCases.missing|Murray_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Murray_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Murray_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Murray_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2574.0|0|2574.0|0|51.0|0|0.0|100
0|2021-10-18|2574.0|0|2574.0|0|51.0|0|0.0|100
0|2021-10-19|2574.0|0|2574.0|0|51.0|0|0.0|100
0|2021-10-20|2598.0|0|2598.0|0|53.0|0|0.0|100
0|2021-10-21|2598.0|0|2598.0|0|53.0|0|0.0|100
0|2021-10-22|2598.0|0|2598.0|0|53.0|0|0.0|100
0|2021-10-23|2598.0|0|2598.0|0|53.0|0|0.0|100
0|2021-10-24|2598.0|0|2598.0|0|53.0|0|0.0|100
0|2021-10-25|2598.0|0|2598.0|0|53.0|0|0.0|100
0|2021-10-26|2598.0|0|2598.0|0|53.0|0|0.0|100
0|2021-10-27|2614.0|0|2614.0|0|53.0|0|0.0|100
0|2021-10-28|2614.0|0|2614.0|0|53.0|0|0.0|100
0|2021-10-29|2614.0|0|2614.0|0|53.0|0|0.0|100
0|2021-10-30|2614.0|0|2614.0|0|53.0|0|0.0|100
0|2021-10-31|2614.0|0|2614.0|0|53.0|0|0.0|100
0|2021-11-01|2614.0|0|2614.0|0|53.0|0|0.0|100
0|2021-11-02|2614.0|0|2614.0|0|53.0|0|0.0|100
0|2021-11-03|2635.0|0|2635.0|0|53.0|0|0.0|100
0|2021-11-04|2635.0|0|2635.0|0|53.0|0|0.0|100
0|2021-11-05|2635.0|0|2635.0|0|53.0|0|0.0|100
0|2021-11-06|2635.0|0|2635.0|0|53.0|0|0.0|100
0|2021-11-07|2635.0|0|2635.0|0|53.0|0|0.0|100
0|2021-11-08|2635.0|0|2635.0|0|53.0|0|0.0|100
