|dates|Crockett_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Crockett_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Crockett_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Crockett_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Crockett_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Crockett_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Crockett_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Crockett_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3334.0|0|3334.0|0|62.0|0|0.0|100
0|2021-10-18|3337.0|0|3337.0|0|62.0|0|0.0|100
0|2021-10-19|3338.0|0|3338.0|0|62.0|0|0.0|100
0|2021-10-20|3341.0|0|3341.0|0|62.0|0|0.0|100
0|2021-10-21|3343.0|0|3343.0|0|62.0|0|0.0|100
0|2021-10-22|3344.0|0|3344.0|0|62.0|0|0.0|100
0|2021-10-23|3344.0|0|3344.0|0|62.0|0|0.0|100
0|2021-10-24|3344.0|0|3344.0|0|62.0|0|0.0|100
0|2021-10-25|3344.0|0|3344.0|0|62.0|0|0.0|100
0|2021-10-26|3352.0|0|3352.0|0|62.0|0|0.0|100
0|2021-10-27|3353.0|0|3353.0|0|62.0|0|0.0|100
0|2021-10-28|3353.0|0|3353.0|0|62.0|0|0.0|100
0|2021-10-29|3357.0|0|3357.0|0|62.0|0|0.0|100
0|2021-10-30|3357.0|0|3357.0|0|62.0|0|0.0|100
0|2021-10-31|3357.0|0|3357.0|0|62.0|0|0.0|100
0|2021-11-01|3357.0|0|3357.0|0|62.0|0|0.0|100
0|2021-11-02|3357.0|0|3357.0|0|62.0|0|0.0|100
0|2021-11-03|3358.0|0|3358.0|0|62.0|0|0.0|100
0|2021-11-04|3358.0|0|3358.0|0|62.0|0|0.0|100
0|2021-11-05|3359.0|0|3359.0|0|62.0|0|0.0|100
0|2021-11-06|3359.0|0|3359.0|0|62.0|0|0.0|100
0|2021-11-07|3359.0|0|3359.0|0|62.0|0|0.0|100
0|2021-11-08|3359.0|0|3359.0|0|62.0|0|0.0|100
0|2021-11-09|3368.0|0|3368.0|0|62.0|0|0.0|100
0|2021-11-10|3368.0|0|3370.0|0|62.0|0|0.0|100
0|2021-11-11|3370.0|0|3370.0|0|62.0|0|0.0|100
0|2021-11-12|3373.0|0|3373.0|0|62.0|0|0.0|100
0|2021-11-13|3373.0|0|3373.0|0|62.0|0|0.0|100
0|2021-11-14|3373.0|0|3373.0|0|62.0|0|0.0|100
0|2021-11-15|3376.0|0|3376.0|0|62.0|0|0.0|100
0|2021-11-16|3376.0|0|3376.0|0|62.0|0|0.0|100
0|2021-11-17|3384.0|0|3384.0|0|62.0|0|0.0|100
0|2021-11-18|3391.0|0|3391.0|0|62.0|0|0.0|100
0|2021-11-19|3392.0|0|3392.0|0|62.0|0|0.0|100
0|2021-11-20|3392.0|0|3392.0|0|62.0|0|0.0|100
0|2021-11-21|3392.0|0|3392.0|0|62.0|0|0.0|100
0|2021-11-22|3396.0|0|3396.0|0|62.0|0|0.0|100
0|2021-11-23|3396.0|0|3396.0|0|63.0|0|0.0|100
0|2021-11-24|3397.0|0|3397.0|0|63.0|0|0.0|100
0|2021-11-25|3397.0|0|3397.0|0|63.0|0|0.0|100
0|2021-11-26|3397.0|0|3397.0|0|63.0|0|0.0|100
0|2021-11-27|3397.0|0|3397.0|0|63.0|0|0.0|100
0|2021-11-28|3397.0|0|3397.0|0|63.0|0|0.0|100
0|2021-11-29|3402.0|0|3402.0|0|63.0|0|0.0|100
0|2021-11-30|3405.0|0|3405.0|0|63.0|0|0.0|100
0|2021-12-01|3408.0|0|3408.0|0|64.0|0|0.0|100
0|2021-12-02|3410.0|0|3410.0|0|64.0|0|0.0|100
0|2021-12-03|3413.0|0|3413.0|0|64.0|0|0.0|100
0|2021-12-04|3413.0|0|3413.0|0|64.0|0|0.0|100
0|2021-12-05|3413.0|0|3413.0|0|64.0|0|0.0|100
0|2021-12-06|3416.0|0|3416.0|0|64.0|0|0.0|100
0|2021-12-07|3420.0|0|3420.0|0|65.0|0|0.0|100
0|2021-12-08|3420.0|0|3420.0|0|65.0|0|0.0|100
0|2021-12-09|3420.0|0|3420.0|0|65.0|0|0.0|100
0|2021-12-10|3426.0|0|3426.0|0|65.0|0|0.0|100
0|2021-12-11|3426.0|0|3426.0|0|65.0|0|0.0|100
0|2021-12-12|3426.0|0|3426.0|0|65.0|0|0.0|100
0|2021-12-13|3429.0|0|3429.0|0|65.0|0|0.0|100
0|2021-12-14|3429.0|0|3430.0|0|65.0|0|0.0|100
0|2021-12-15|3433.0|0|3433.0|0|65.0|0|0.0|100
0|2021-12-16|3434.0|0|3434.0|0|65.0|0|0.0|100
0|2021-12-17|3443.0|0|3443.0|0|65.0|0|0.0|100
0|2021-12-18|3443.0|0|3443.0|0|65.0|0|0.0|100
0|2021-12-19|3443.0|0|3443.0|0|65.0|0|0.0|100
0|2021-12-20|3448.0|0|3448.0|0|65.0|0|0.0|100
0|2021-12-21|3448.0|0|3448.0|0|65.0|0|0.0|100
0|2021-12-22|3449.0|0|3449.0|0|65.0|0|0.0|100
0|2021-12-23|3459.0|0|3459.0|0|74.0|0|0.0|100
0|2021-12-24|3459.0|0|3459.0|0|74.0|0|0.0|100
0|2021-12-25|3459.0|0|3459.0|0|74.0|0|0.0|100
0|2021-12-26|3459.0|0|3459.0|0|74.0|0|0.0|100
0|2021-12-27|3471.0|0|3471.0|0|75.0|0|0.0|100
0|2021-12-28|3471.0|0|3479.0|0|75.0|0|0.0|100
0|2021-12-29|3493.0|0|3493.0|0|75.0|0|0.0|100
