|dates|Hockley_Texas_UnitedStates.JHU_ConfirmedCases.data|Hockley_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hockley_Texas_UnitedStates.NYT_ConfirmedCases.data|Hockley_Texas_UnitedStates.NYT_ConfirmedCases.missing|Hockley_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hockley_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hockley_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hockley_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4179.0|0|4179.0|0|130.0|0|0.0|100
0|2021-10-18|4179.0|0|4179.0|0|130.0|0|0.0|100
0|2021-10-19|4194.0|0|4194.0|0|130.0|0|0.0|100
0|2021-10-20|4207.0|0|4207.0|0|130.0|0|0.0|100
0|2021-10-21|4217.0|0|4217.0|0|130.0|0|0.0|100
0|2021-10-22|4217.0|0|4217.0|0|130.0|0|0.0|100
0|2021-10-23|4226.0|0|4226.0|0|130.0|0|0.0|100
0|2021-10-24|4226.0|0|4226.0|0|130.0|0|0.0|100
0|2021-10-25|4226.0|0|4226.0|0|130.0|0|0.0|100
0|2021-10-26|4241.0|0|4241.0|0|131.0|0|0.0|100
0|2021-10-27|4251.0|0|4251.0|0|132.0|0|0.0|100
0|2021-10-28|4251.0|0|4251.0|0|132.0|0|0.0|100
0|2021-10-29|4262.0|0|4262.0|0|132.0|0|0.0|100
0|2021-10-30|4271.0|0|4271.0|0|132.0|0|0.0|100
0|2021-10-31|4271.0|0|4271.0|0|132.0|0|0.0|100
0|2021-11-01|4271.0|0|4271.0|0|132.0|0|0.0|100
0|2021-11-02|4285.0|0|4285.0|0|132.0|0|0.0|100
0|2021-11-03|4297.0|0|4297.0|0|132.0|0|0.0|100
0|2021-11-04|4305.0|0|4305.0|0|133.0|0|0.0|100
0|2021-11-05|4310.0|0|4310.0|0|133.0|0|0.0|100
0|2021-11-06|4318.0|0|4318.0|0|133.0|0|0.0|100
0|2021-11-07|4318.0|0|4318.0|0|133.0|0|0.0|100
0|2021-11-08|4318.0|0|4318.0|0|133.0|0|0.0|100
0|2021-11-09|4342.0|0|4342.0|0|133.0|0|0.0|100
0|2021-11-10|4342.0|0|4342.0|0|133.0|0|0.0|100
0|2021-11-11|4360.0|0|4360.0|0|133.0|0|0.0|100
0|2021-11-12|4360.0|0|4360.0|0|133.0|0|0.0|100
0|2021-11-13|4375.0|0|4375.0|0|133.0|0|0.0|100
0|2021-11-14|4375.0|0|4375.0|0|133.0|0|0.0|100
0|2021-11-15|4375.0|0|4375.0|0|133.0|0|0.0|100
0|2021-11-16|4384.0|0|4384.0|0|133.0|0|0.0|100
0|2021-11-17|4392.0|0|4392.0|0|133.0|0|0.0|100
0|2021-11-18|4392.0|0|4392.0|0|133.0|0|0.0|100
0|2021-11-19|4399.0|0|4399.0|0|133.0|0|0.0|100
