|dates|Jackson_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Jackson_NorthCarolina_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Jackson_NorthCarolina_UnitedStates.Male_Total_Population.data|Jackson_NorthCarolina_UnitedStates.Male_Total_Population.missing|Jackson_NorthCarolina_UnitedStates.Female_Total_Population.data|Jackson_NorthCarolina_UnitedStates.Female_Total_Population.missing|Jackson_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.data|Jackson_NorthCarolina_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-18|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-19|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-20|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-21|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-22|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-23|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-24|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-25|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-26|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-27|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-28|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-29|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-30|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-10-31|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-01|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-02|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-03|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-04|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-05|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-06|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-07|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-08|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-09|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-10|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-11|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-12|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-13|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-14|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-15|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-16|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-17|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-18|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-19|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-20|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-21|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-22|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-23|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-24|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-25|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-26|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-27|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-28|8527.0|0|21253.0|0|22074.0|0|7195.0|0
0|2021-11-29|8527.0|0|21253.0|0|22074.0|0|7195.0|0
