|dates|SanJuan_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|SanJuan_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|SanJuan_NewMexico_UnitedStates.Male_Total_Population.data|SanJuan_NewMexico_UnitedStates.Male_Total_Population.missing|SanJuan_NewMexico_UnitedStates.Female_Total_Population.data|SanJuan_NewMexico_UnitedStates.Female_Total_Population.missing|SanJuan_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|SanJuan_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-18|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-19|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-20|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-21|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-22|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-23|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-24|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-25|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-26|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-27|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-28|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-29|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-30|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-10-31|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-01|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-02|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-03|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-04|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-05|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-06|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-07|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-08|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-09|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-10|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-11|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-12|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-13|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-14|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-15|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-16|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-17|18685.0|0|61898.0|0|63145.0|0|33054.0|0
0|2021-11-18|18685.0|0|61898.0|0|63145.0|0|33054.0|0
