|dates|Dorchester_Maryland_UnitedStates.JHU_ConfirmedCases.data|Dorchester_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Dorchester_Maryland_UnitedStates.NYT_ConfirmedCases.data|Dorchester_Maryland_UnitedStates.NYT_ConfirmedCases.missing|Dorchester_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Dorchester_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Dorchester_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Dorchester_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4017.0|0|4018.0|0|77.0|0|0.0|100
0|2021-10-18|4024.0|0|4025.0|0|77.0|0|0.0|100
0|2021-10-19|4029.0|0|4030.0|0|77.0|0|0.0|100
0|2021-10-20|4048.0|0|4049.0|0|78.0|0|0.0|100
0|2021-10-21|4064.0|0|4065.0|0|78.0|0|0.0|100
0|2021-10-22|4079.0|0|4080.0|0|79.0|0|0.0|100
0|2021-10-23|4092.0|0|4093.0|0|79.0|0|0.0|100
0|2021-10-24|4100.0|0|4101.0|0|79.0|0|0.0|100
0|2021-10-25|4106.0|0|4107.0|0|79.0|0|0.0|100
0|2021-10-26|4115.0|0|4116.0|0|80.0|0|0.0|100
0|2021-10-27|4129.0|0|4130.0|0|81.0|0|0.0|100
0|2021-10-28|4140.0|0|4141.0|0|81.0|0|0.0|100
0|2021-10-29|4153.0|0|4154.0|0|81.0|0|0.0|100
0|2021-10-30|4158.0|0|4159.0|0|81.0|0|0.0|100
0|2021-10-31|4165.0|0|4166.0|0|81.0|0|0.0|100
0|2021-11-01|4170.0|0|4171.0|0|81.0|0|0.0|100
0|2021-11-02|4172.0|0|4173.0|0|82.0|0|0.0|100
0|2021-11-03|4174.0|0|4175.0|0|82.0|0|0.0|100
0|2021-11-04|4179.0|0|4180.0|0|83.0|0|0.0|100
0|2021-11-05|4186.0|0|4187.0|0|83.0|0|0.0|100
0|2021-11-06|4194.0|0|4195.0|0|83.0|0|0.0|100
0|2021-11-07|4202.0|0|4203.0|0|83.0|0|0.0|100
0|2021-11-08|4212.0|0|4213.0|0|83.0|0|0.0|100
0|2021-11-09|4215.0|0|4216.0|0|83.0|0|0.0|100
0|2021-11-10|4215.0|0|4222.0|0|83.0|0|0.0|100
0|2021-11-11|4233.0|0|4234.0|0|84.0|0|0.0|100
