|dates|Dougherty_Georgia_UnitedStates.JHU_ConfirmedCases.data|Dougherty_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Dougherty_Georgia_UnitedStates.NYT_ConfirmedCases.data|Dougherty_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Dougherty_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Dougherty_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Dougherty_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Dougherty_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12270.0|0|12329.0|0|401.0|0|0.0|100
0|2021-10-18|12307.0|0|12369.0|0|402.0|0|0.0|100
0|2021-10-19|12316.0|0|12378.0|0|403.0|0|0.0|100
0|2021-10-20|12327.0|0|12389.0|0|404.0|0|0.0|100
0|2021-10-21|12338.0|0|12400.0|0|406.0|0|0.0|100
0|2021-10-22|12351.0|0|12413.0|0|407.0|0|0.0|100
0|2021-10-23|12351.0|0|12413.0|0|407.0|0|0.0|100
0|2021-10-24|12351.0|0|12413.0|0|407.0|0|0.0|100
0|2021-10-25|12368.0|0|12435.0|0|408.0|0|0.0|100
0|2021-10-26|12378.0|0|12445.0|0|408.0|0|0.0|100
0|2021-10-27|12384.0|0|12451.0|0|409.0|0|0.0|100
0|2021-10-28|12388.0|0|12455.0|0|409.0|0|0.0|100
0|2021-10-29|12399.0|0|12466.0|0|410.0|0|0.0|100
0|2021-10-30|12399.0|0|12466.0|0|410.0|0|0.0|100
0|2021-10-31|12399.0|0|12466.0|0|410.0|0|0.0|100
0|2021-11-01|12412.0|0|12481.0|0|413.0|0|0.0|100
0|2021-11-02|12419.0|0|12488.0|0|413.0|0|0.0|100
0|2021-11-03|12428.0|0|12497.0|0|414.0|0|0.0|100
0|2021-11-04|12440.0|0|12509.0|0|414.0|0|0.0|100
0|2021-11-05|12455.0|0|12524.0|0|416.0|0|0.0|100
0|2021-11-06|12455.0|0|12524.0|0|416.0|0|0.0|100
0|2021-11-07|12455.0|0|12524.0|0|416.0|0|0.0|100
0|2021-11-08|12455.0|0|12531.0|0|416.0|0|0.0|100
0|2021-11-09|12472.0|0|12548.0|0|416.0|0|0.0|100
0|2021-11-10|12474.0|0|12550.0|0|417.0|0|0.0|100
0|2021-11-11|12474.0|0|12550.0|0|417.0|0|0.0|100
0|2021-11-12|12486.0|0|12562.0|0|421.0|0|0.0|100
0|2021-11-13|12486.0|0|12562.0|0|421.0|0|0.0|100
0|2021-11-14|12486.0|0|12562.0|0|421.0|0|0.0|100
0|2021-11-15|12494.0|0|12574.0|0|421.0|0|0.0|100
0|2021-11-16|12502.0|0|12582.0|0|421.0|0|0.0|100
0|2021-11-17|12504.0|0|12584.0|0|421.0|0|0.0|100
0|2021-11-18|12508.0|0|12588.0|0|422.0|0|0.0|100
