|dates|Lewis_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Lewis_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Lewis_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Lewis_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Lewis_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Lewis_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Lewis_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Lewis_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2462.0|0|2462.0|0|55.0|0|0.0|100
0|2021-10-18|2480.0|0|2480.0|0|55.0|0|0.0|100
0|2021-10-19|2486.0|0|2486.0|0|55.0|0|0.0|100
0|2021-10-20|2501.0|0|2501.0|0|55.0|0|0.0|100
0|2021-10-21|2505.0|0|2505.0|0|56.0|0|0.0|100
0|2021-10-22|2513.0|0|2513.0|0|56.0|0|0.0|100
0|2021-10-23|2513.0|0|2513.0|0|56.0|0|0.0|100
0|2021-10-24|2513.0|0|2513.0|0|56.0|0|0.0|100
0|2021-10-25|2520.0|0|2520.0|0|56.0|0|0.0|100
0|2021-10-26|2545.0|0|2545.0|0|56.0|0|0.0|100
0|2021-10-27|2550.0|0|2550.0|0|56.0|0|0.0|100
0|2021-10-28|2559.0|0|2559.0|0|56.0|0|0.0|100
0|2021-10-29|2573.0|0|2573.0|0|57.0|0|0.0|100
0|2021-10-30|2573.0|0|2573.0|0|57.0|0|0.0|100
0|2021-10-31|2573.0|0|2573.0|0|57.0|0|0.0|100
0|2021-11-01|2582.0|0|2582.0|0|57.0|0|0.0|100
0|2021-11-02|2585.0|0|2585.0|0|57.0|0|0.0|100
0|2021-11-03|2591.0|0|2591.0|0|57.0|0|0.0|100
0|2021-11-04|2597.0|0|2597.0|0|57.0|0|0.0|100
0|2021-11-05|2606.0|0|2606.0|0|57.0|0|0.0|100
0|2021-11-06|2606.0|0|2606.0|0|57.0|0|0.0|100
