|dates|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedCases.data|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Oglethorpe_Georgia_UnitedStates.NYT_ConfirmedCases.data|Oglethorpe_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Oglethorpe_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2140.0|0|2148.0|0|38.0|0|0.0|100
0|2021-10-18|2144.0|0|2152.0|0|38.0|0|0.0|100
0|2021-10-19|2149.0|0|2157.0|0|38.0|0|0.0|100
0|2021-10-20|2153.0|0|2161.0|0|38.0|0|0.0|100
0|2021-10-21|2155.0|0|2163.0|0|38.0|0|0.0|100
0|2021-10-22|2158.0|0|2166.0|0|38.0|0|0.0|100
0|2021-10-23|2158.0|0|2166.0|0|38.0|0|0.0|100
0|2021-10-24|2158.0|0|2166.0|0|38.0|0|0.0|100
0|2021-10-25|2164.0|0|2172.0|0|38.0|0|0.0|100
0|2021-10-26|2165.0|0|2173.0|0|38.0|0|0.0|100
0|2021-10-27|2166.0|0|2174.0|0|39.0|0|0.0|100
0|2021-10-28|2168.0|0|2176.0|0|40.0|0|0.0|100
0|2021-10-29|2174.0|0|2182.0|0|40.0|0|0.0|100
0|2021-10-30|2174.0|0|2182.0|0|40.0|0|0.0|100
0|2021-10-31|2174.0|0|2182.0|0|40.0|0|0.0|100
0|2021-11-01|2190.0|0|2200.0|0|40.0|0|0.0|100
0|2021-11-02|2190.0|0|2200.0|0|41.0|0|0.0|100
0|2021-11-03|2199.0|0|2209.0|0|41.0|0|0.0|100
0|2021-11-04|2203.0|0|2213.0|0|41.0|0|0.0|100
0|2021-11-05|2204.0|0|2214.0|0|42.0|0|0.0|100
0|2021-11-06|2204.0|0|2214.0|0|42.0|0|0.0|100
0|2021-11-07|2204.0|0|2214.0|0|42.0|0|0.0|100
0|2021-11-08|2204.0|0|2214.0|0|42.0|0|0.0|100
0|2021-11-09|2209.0|0|2219.0|0|42.0|0|0.0|100
0|2021-11-10|2209.0|0|2224.0|0|42.0|0|0.0|100
0|2021-11-11|2214.0|0|2224.0|0|43.0|0|0.0|100
0|2021-11-12|2216.0|0|2226.0|0|43.0|0|0.0|100
0|2021-11-13|2216.0|0|2226.0|0|43.0|0|0.0|100
0|2021-11-14|2216.0|0|2226.0|0|43.0|0|0.0|100
0|2021-11-15|2220.0|0|2230.0|0|43.0|0|0.0|100
0|2021-11-16|2221.0|0|2231.0|0|43.0|0|0.0|100
0|2021-11-17|2223.0|0|2233.0|0|43.0|0|0.0|100
0|2021-11-18|2226.0|0|2236.0|0|43.0|0|0.0|100
0|2021-11-19|2231.0|0|2241.0|0|43.0|0|0.0|100
0|2021-11-20|2231.0|0|2241.0|0|43.0|0|0.0|100
0|2021-11-21|2231.0|0|2241.0|0|43.0|0|0.0|100
0|2021-11-22|2236.0|0|2248.0|0|43.0|0|0.0|100
0|2021-11-23|2238.0|0|2250.0|0|43.0|0|0.0|100
0|2021-11-24|2238.0|0|2250.0|0|43.0|0|0.0|100
0|2021-11-25|2238.0|0|2250.0|0|43.0|0|0.0|100
0|2021-11-26|2238.0|0|2250.0|0|43.0|0|0.0|100
0|2021-11-27|2238.0|0|2250.0|0|43.0|0|0.0|100
0|2021-11-28|2238.0|0|2250.0|0|43.0|0|0.0|100
0|2021-11-29|2247.0|0|2259.0|0|43.0|0|0.0|100
0|2021-11-30|2246.0|0|2257.0|0|43.0|0|0.0|100
0|2021-12-01|2249.0|0|2260.0|0|43.0|0|0.0|100
0|2021-12-02|2249.0|0|2261.0|0|43.0|0|0.0|100
0|2021-12-03|2252.0|0|2263.0|0|43.0|0|0.0|100
0|2021-12-04|2252.0|0|2263.0|0|43.0|0|0.0|100
0|2021-12-05|2252.0|0|2263.0|0|43.0|0|0.0|100
0|2021-12-06|2254.0|0|2264.0|0|43.0|0|0.0|100
0|2021-12-07|2256.0|0|2266.0|0|43.0|0|0.0|100
0|2021-12-08|2257.0|0|2267.0|0|43.0|0|0.0|100
0|2021-12-09|2260.0|0|2270.0|0|43.0|0|0.0|100
0|2021-12-10|2266.0|0|2276.0|0|43.0|0|0.0|100
0|2021-12-11|2266.0|0|2276.0|0|43.0|0|0.0|100
0|2021-12-12|2266.0|0|2276.0|0|43.0|0|0.0|100
0|2021-12-13|2268.0|0|2278.0|0|43.0|0|0.0|100
0|2021-12-14|2268.0|0|2284.0|0|43.0|0|0.0|100
0|2021-12-15|2281.0|0|2291.0|0|43.0|0|0.0|100
0|2021-12-16|2283.0|0|2293.0|0|43.0|0|0.0|100
0|2021-12-17|2284.0|0|2294.0|0|43.0|0|0.0|100
0|2021-12-18|2284.0|0|2294.0|0|43.0|0|0.0|100
