|dates|Brazos_Texas_UnitedStates.JHU_ConfirmedCases.data|Brazos_Texas_UnitedStates.JHU_ConfirmedCases.missing|Brazos_Texas_UnitedStates.NYT_ConfirmedCases.data|Brazos_Texas_UnitedStates.NYT_ConfirmedCases.missing|Brazos_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Brazos_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Brazos_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Brazos_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|38342.0|0|38342.0|0|350.0|0|0.0|100
0|2021-10-18|38382.0|0|38382.0|0|350.0|0|0.0|100
0|2021-10-19|38415.0|0|38415.0|0|350.0|0|0.0|100
0|2021-10-20|38445.0|0|38445.0|0|350.0|0|0.0|100
0|2021-10-21|38455.0|0|38455.0|0|350.0|0|0.0|100
0|2021-10-22|38518.0|0|38518.0|0|350.0|0|0.0|100
0|2021-10-23|38518.0|0|38518.0|0|350.0|0|0.0|100
0|2021-10-24|38518.0|0|38518.0|0|350.0|0|0.0|100
0|2021-10-25|38525.0|0|38525.0|0|350.0|0|0.0|100
0|2021-10-26|38553.0|0|38553.0|0|354.0|0|0.0|100
0|2021-10-27|38589.0|0|38589.0|0|354.0|0|0.0|100
0|2021-10-28|38609.0|0|38609.0|0|354.0|0|0.0|100
0|2021-10-29|38626.0|0|38626.0|0|354.0|0|0.0|100
0|2021-10-30|38626.0|0|38626.0|0|354.0|0|0.0|100
0|2021-10-31|38626.0|0|38626.0|0|354.0|0|0.0|100
0|2021-11-01|38637.0|0|38637.0|0|359.0|0|0.0|100
0|2021-11-02|38645.0|0|38645.0|0|359.0|0|0.0|100
0|2021-11-03|38660.0|0|38660.0|0|359.0|0|0.0|100
0|2021-11-04|38670.0|0|38670.0|0|359.0|0|0.0|100
0|2021-11-05|38687.0|0|38687.0|0|359.0|0|0.0|100
0|2021-11-06|38687.0|0|38687.0|0|359.0|0|0.0|100
0|2021-11-07|38687.0|0|38687.0|0|359.0|0|0.0|100
0|2021-11-08|38699.0|0|38699.0|0|359.0|0|0.0|100
0|2021-11-09|38722.0|0|38722.0|0|363.0|0|0.0|100
0|2021-11-10|38722.0|0|38751.0|0|363.0|0|0.0|100
0|2021-11-11|38785.0|0|38785.0|0|363.0|0|0.0|100
0|2021-11-12|38819.0|0|38819.0|0|363.0|0|0.0|100
0|2021-11-13|38819.0|0|38819.0|0|363.0|0|0.0|100
0|2021-11-14|38819.0|0|38819.0|0|363.0|0|0.0|100
0|2021-11-15|38838.0|0|38838.0|0|363.0|0|0.0|100
0|2021-11-16|38862.0|0|38862.0|0|363.0|0|0.0|100
0|2021-11-17|38884.0|0|38884.0|0|363.0|0|0.0|100
0|2021-11-18|38904.0|0|38904.0|0|363.0|0|0.0|100
0|2021-11-19|38929.0|0|38929.0|0|363.0|0|0.0|100
0|2021-11-20|38929.0|0|38929.0|0|363.0|0|0.0|100
0|2021-11-21|38929.0|0|38929.0|0|363.0|0|0.0|100
0|2021-11-22|38954.0|0|38954.0|0|363.0|0|0.0|100
0|2021-11-23|39001.0|0|39001.0|0|363.0|0|0.0|100
